numbins,accuracy,time
1,0.071,12.569186
2,0.114,12.585587
3,0.115,13.062229
4,0.173,12.584132
5,0.161,12.709192
6,0.177,12.589749
7,0.173,12.778208
8,0.181,13.065540
9,0.199,12.919209
10,0.187,12.799095
11,0.190,12.649845
12,0.187,12.432708
13,0.180,12.557776
14,0.191,12.629188
15,0.191,12.303324
16,0.201,12.370167
17,0.191,13.719312
18,0.197,13.700884
19,0.209,14.213377
20,0.193,12.795637
21,0.200,12.592059
22,0.193,12.248276
23,0.187,12.336185
24,0.197,12.560549
25,0.203,12.727607
26,0.190,12.384741
27,0.198,12.764998
28,0.201,12.539647
29,0.195,12.888204
30,0.199,13.375999
31,0.197,13.134876
32,0.195,12.901268
33,0.191,12.668726
34,0.190,13.246713
35,0.198,13.112200
36,0.199,12.800780
37,0.193,13.214045
38,0.197,13.351263
39,0.188,13.353810
40,0.191,13.367117
41,0.191,13.238706
42,0.191,14.027071
43,0.196,13.917340
44,0.192,14.035626
45,0.194,13.727553
46,0.191,13.528153
47,0.199,13.428463
48,0.193,13.580082
49,0.200,13.430463
50,0.197,13.910818
51,0.190,14.229483
52,0.195,14.312649
53,0.194,14.205401
54,0.194,14.225063
55,0.193,14.287470
56,0.192,14.286765
57,0.197,14.557665
58,0.195,14.373155
59,0.197,13.795205
60,0.194,13.690217
61,0.193,14.554292
62,0.192,14.708891
63,0.195,14.488733
64,0.193,14.636597
65,0.193,14.389877
66,0.192,14.544554
67,0.197,14.377999
68,0.193,13.671547
69,0.192,14.581687
70,0.191,14.336848
71,0.189,13.841383
72,0.191,13.695789
73,0.195,13.784933
74,0.198,13.906727
75,0.198,13.496247
76,0.197,14.300086
77,0.191,13.498532
78,0.199,14.342980
79,0.195,14.696003
80,0.191,13.648788
81,0.195,14.282413
82,0.192,13.330589
83,0.189,14.209563
84,0.192,13.613944
85,0.191,14.784091
86,0.193,13.547067
87,0.196,14.070743
88,0.193,14.568034
89,0.197,14.645176
90,0.195,14.532830
91,0.195,14.685598
92,0.195,14.318137
93,0.197,14.454875
94,0.195,14.559402
95,0.193,14.526366
96,0.197,14.748482
97,0.194,14.643691
