numbins,accuracy,time
1,0.071,18.021151
2,0.225,17.270188
3,0.275,17.296120
4,0.304,17.164209
5,0.302,17.255696
6,0.311,17.127475
7,0.313,17.336683
8,0.317,16.961795
9,0.321,17.289934
10,0.326,17.129137
11,0.308,17.497442
12,0.318,16.966393
13,0.311,17.037432
14,0.319,17.199392
15,0.316,17.083478
16,0.310,16.878676
17,0.311,16.779660
18,0.315,17.289330
19,0.314,17.486696
20,0.318,16.990629
21,0.313,17.066954
22,0.305,17.062376
23,0.309,17.094953
24,0.308,17.175510
25,0.306,17.126235
26,0.305,18.486495
27,0.312,16.658225
28,0.305,16.631209
29,0.310,16.920845
30,0.306,16.864921
31,0.307,16.746070
32,0.303,16.950360
33,0.305,16.787057
34,0.305,16.829504
35,0.301,17.086118
36,0.307,17.212796
37,0.300,16.813441
38,0.305,16.939327
39,0.303,17.161164
40,0.302,16.792142
41,0.300,16.965473
42,0.300,17.079615
43,0.304,16.610065
44,0.304,16.844702
45,0.308,16.671016
46,0.305,16.649571
47,0.305,16.664991
48,0.304,16.978520
49,0.302,17.076204
50,0.303,16.939789
51,0.303,16.987015
52,0.303,17.462429
53,0.304,16.584275
54,0.303,16.966360
55,0.304,16.899058
56,0.300,16.994333
57,0.300,16.846223
58,0.301,16.871744
59,0.302,16.806628
60,0.302,16.777823
61,0.303,16.802350
62,0.307,16.415107
63,0.303,16.795983
64,0.301,16.475691
65,0.305,17.017032
66,0.307,16.697965
67,0.305,16.970232
68,0.304,17.171482
69,0.304,16.852286
70,0.301,16.795256
71,0.303,16.416644
72,0.301,16.926437
73,0.303,17.105503
74,0.304,17.103458
75,0.301,16.949209
76,0.306,16.594951
77,0.301,16.944899
78,0.303,16.940169
79,0.302,16.770828
80,0.302,16.885607
81,0.302,16.823009
82,0.303,16.742670
83,0.303,17.176182
84,0.303,16.674818
85,0.301,17.976435
86,0.304,24.067412
87,0.303,16.936934
88,0.305,17.235024
89,0.303,17.127877
90,0.301,16.860983
91,0.304,16.908612
92,0.304,16.749928
93,0.303,16.875311
94,0.303,16.940567
95,0.303,17.176778
96,0.305,17.241525
97,0.307,16.807949
98,0.305,16.935286
99,0.303,16.956489
100,0.304,16.808933
101,0.303,17.000053
102,0.303,16.634462
103,0.305,17.427059
104,0.305,16.772096
105,0.307,17.092716
106,0.304,16.801736
107,0.306,16.542041
108,0.308,16.964531
109,0.306,17.034659
110,0.303,17.087833
111,0.305,17.101958
112,0.306,17.154205
113,0.301,16.749127
114,0.305,16.968609
115,0.305,17.144806
116,0.307,17.114943
117,0.301,16.976630
118,0.307,17.112349
119,0.309,16.850500
120,0.305,17.491260
121,0.307,16.929126
122,0.307,16.876130
123,0.310,17.306597
124,0.312,17.089016
125,0.309,16.670351
126,0.301,16.949635
127,0.310,16.757262
128,0.307,16.671734
129,0.304,16.974372
130,0.302,16.988937
131,0.305,17.195646
132,0.303,16.949127
133,0.301,17.305902
134,0.301,16.784812
135,0.305,17.178888
136,0.305,17.041059
137,0.304,17.222658
138,0.305,17.250976
139,0.305,17.253636
140,0.307,17.142856
141,0.303,16.917515
142,0.304,16.935559
143,0.305,17.074973
144,0.308,17.030092
145,0.303,17.369166
146,0.306,16.690166
147,0.307,16.949317
148,0.305,16.975402
149,0.303,16.651584
150,0.303,17.206890
151,0.307,17.157224
152,0.307,17.004329
153,0.303,17.313556
154,0.305,17.502847
155,0.303,17.198817
156,0.306,16.821728
157,0.303,16.961063
158,0.303,16.863471
159,0.302,16.810028
160,0.304,16.858674
161,0.303,16.833294
162,0.303,16.881967
163,0.301,17.234931
164,0.305,16.906753
165,0.304,17.133807
166,0.303,17.091369
167,0.307,17.019178
168,0.305,17.147421
169,0.307,16.942881
170,0.301,23.357323
171,0.306,25.332040
172,0.310,18.388267
173,0.306,18.416651
174,0.307,20.291878
175,0.305,17.884826
176,0.305,22.271999
177,0.305,29.375436
