k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.431917,0.292,1.070560,0.292,0.843265,0.292,0.819945,0.292,0.762862,0.292
2,1.185357,0.261,1.196258,0.292,1.013553,0.292,0.978027,0.292,0.882181,0.292
3,1.195167,0.273,1.283260,0.286,1.030641,0.286,1.021011,0.286,0.971867,0.286
4,1.224683,0.275,1.496355,0.277,1.134594,0.271,1.078412,0.287,1.048818,0.281
5,1.237982,0.283,1.609797,0.261,1.199416,0.253,1.143468,0.283,1.102257,0.275
6,1.192880,0.290,1.614973,0.260,1.268810,0.247,1.191862,0.291,1.138301,0.277
7,1.255675,0.289,1.695337,0.247,1.305821,0.233,1.244245,0.292,1.193875,0.273
8,1.213886,0.293,1.740778,0.245,1.394265,0.230,1.297456,0.296,1.240827,0.275
9,1.251429,0.285,1.705455,0.241,1.438906,0.226,1.351794,0.298,1.289286,0.281
10,1.148914,0.296,1.839471,0.233,1.455723,0.221,1.390956,0.294,1.320226,0.287
11,1.241211,0.282,1.764493,0.229,1.422016,0.220,1.417632,0.305,1.394219,0.285
12,1.277448,0.294,1.903949,0.222,1.551271,0.209,1.473686,0.301,1.414822,0.285
13,1.190992,0.291,1.923874,0.217,1.546126,0.197,1.493357,0.299,1.441552,0.285
14,1.248639,0.285,1.815776,0.218,1.570790,0.192,1.542960,0.304,1.468262,0.280
15,1.238039,0.286,2.007923,0.210,1.640386,0.188,1.582778,0.301,1.516208,0.275
16,1.262051,0.283,2.000489,0.209,1.607858,0.190,1.589774,0.301,1.550551,0.278
17,1.249453,0.286,2.051963,0.205,1.650483,0.188,1.589453,0.301,1.563767,0.283
18,1.205029,0.283,2.061493,0.199,1.691192,0.181,1.635474,0.303,1.587756,0.277
19,1.199715,0.283,2.153052,0.194,1.735424,0.176,1.639207,0.306,1.645049,0.277
20,1.300995,0.285,2.134786,0.197,1.768480,0.184,1.735400,0.307,1.648555,0.277
21,1.185550,0.276,2.147169,0.196,1.797447,0.177,1.761461,0.307,1.660015,0.281
22,1.258746,0.277,2.255146,0.194,1.775760,0.171,1.774476,0.314,1.693209,0.282
23,1.215999,0.281,2.120339,0.192,1.831207,0.171,1.762544,0.305,1.735353,0.281
24,1.217445,0.278,2.229226,0.191,1.843215,0.175,1.754329,0.309,1.738630,0.287
25,1.297673,0.274,2.249043,0.187,1.836163,0.175,1.791548,0.308,1.773755,0.286
26,1.207732,0.269,2.101269,0.185,1.879745,0.173,1.804247,0.311,1.810773,0.289
27,1.228493,0.271,2.188084,0.186,1.872678,0.169,1.824392,0.313,1.805009,0.285
28,1.283783,0.271,2.094003,0.185,1.902250,0.166,1.843819,0.313,1.816144,0.285
29,1.295990,0.266,2.260499,0.186,1.950601,0.163,1.878447,0.309,1.880983,0.287
30,1.274255,0.271,2.329273,0.180,1.952693,0.155,1.882279,0.307,1.848482,0.287
31,1.293999,0.272,2.334792,0.176,1.990555,0.149,1.939082,0.311,1.887704,0.291
32,1.258860,0.271,2.268046,0.175,1.948893,0.146,1.891811,0.310,1.865886,0.290
33,1.297174,0.272,2.381682,0.177,2.009220,0.146,1.909481,0.308,1.931805,0.288
34,1.201130,0.268,2.344449,0.175,2.007334,0.146,1.921694,0.310,1.901782,0.287
35,1.225338,0.271,2.349356,0.173,1.993597,0.146,1.947531,0.310,1.896567,0.285
36,1.291298,0.274,2.249208,0.168,2.033174,0.140,1.922345,0.307,1.898791,0.286
37,1.274856,0.273,2.328925,0.171,2.024120,0.139,1.987796,0.306,1.945339,0.290
38,1.221899,0.270,2.265619,0.162,2.047306,0.133,2.002373,0.305,1.956108,0.286
39,1.214889,0.273,2.452955,0.163,2.066192,0.134,2.065756,0.309,1.994715,0.288
40,1.271268,0.272,2.368083,0.164,2.085511,0.136,2.038198,0.308,2.002130,0.285
41,1.290880,0.269,2.354638,0.168,2.146221,0.137,2.057375,0.309,2.042426,0.280
42,1.283219,0.267,2.352409,0.170,2.142514,0.141,2.074988,0.308,2.040055,0.283
43,1.264491,0.266,2.480251,0.163,2.108777,0.137,2.092091,0.308,2.021551,0.288
44,1.214567,0.269,2.490393,0.166,2.175355,0.139,2.062732,0.307,2.067992,0.287
45,1.207584,0.273,2.392930,0.166,2.207243,0.129,2.114565,0.304,2.079303,0.286
46,1.313549,0.273,2.558273,0.163,2.170797,0.129,2.111613,0.308,2.109103,0.287
47,1.232583,0.273,2.482911,0.165,2.136961,0.133,2.108116,0.306,2.078153,0.287
48,1.305466,0.273,2.593313,0.163,2.198714,0.129,2.103486,0.306,2.118193,0.286
49,1.234646,0.271,2.591321,0.160,2.215090,0.131,2.153543,0.307,2.136240,0.282
50,1.321350,0.273,2.396454,0.163,2.198996,0.132,2.129594,0.307,2.117384,0.281
51,1.230272,0.273,2.463924,0.163,2.275224,0.131,2.184649,0.308,2.166161,0.279
52,1.308875,0.275,2.528840,0.167,2.248789,0.135,2.167489,0.307,2.149359,0.279
53,1.263196,0.271,2.501791,0.169,2.228772,0.132,2.192854,0.306,2.137817,0.277
54,1.293465,0.270,2.617608,0.173,2.242786,0.143,2.176900,0.307,2.608696,0.281
55,1.295179,0.275,2.488577,0.170,2.297853,0.139,2.225151,0.305,2.210797,0.281
56,1.318066,0.271,2.718576,0.163,2.229313,0.139,2.160089,0.308,2.160082,0.286
57,1.315995,0.273,2.561776,0.165,2.220146,0.141,2.140752,0.307,2.128207,0.285
58,1.214168,0.269,2.426164,0.161,2.259969,0.140,2.166707,0.309,2.160065,0.285
59,1.322390,0.268,2.473742,0.163,2.265866,0.141,2.239488,0.309,2.191867,0.286
60,1.286589,0.263,2.572135,0.167,2.326694,0.141,2.234449,0.309,2.230441,0.286
61,1.218817,0.261,2.675943,0.165,2.296809,0.138,2.255994,0.309,2.219875,0.284
62,1.267325,0.261,2.561152,0.165,2.343859,0.139,2.244252,0.308,2.218980,0.285
63,1.277582,0.261,2.702908,0.168,2.324401,0.136,2.269198,0.308,2.264536,0.286
64,1.259347,0.261,2.526822,0.167,2.321377,0.139,2.217308,0.309,2.254709,0.282
65,1.336960,0.264,2.671337,0.165,2.355353,0.135,2.281828,0.305,2.265852,0.280
66,1.326197,0.261,2.505149,0.166,2.341369,0.132,2.226571,0.303,2.213842,0.282
67,1.259999,0.259,2.712294,0.164,2.405491,0.131,2.269995,0.303,2.272055,0.279
68,1.340246,0.257,2.701896,0.161,2.395443,0.130,2.295656,0.301,2.273627,0.283
69,1.244635,0.254,2.566584,0.160,2.365733,0.127,2.289909,0.299,2.274778,0.284
70,1.274794,0.253,2.489946,0.162,2.367380,0.127,2.243240,0.299,2.237740,0.279
71,1.252107,0.255,2.679602,0.161,2.353271,0.125,2.305943,0.299,2.300832,0.280
72,1.354394,0.251,2.765090,0.165,2.452080,0.127,2.329298,0.300,2.346853,0.279
73,1.248682,0.254,2.706952,0.166,2.365623,0.127,2.565021,0.299,2.240877,0.278
74,1.329497,0.251,2.728047,0.171,2.363473,0.123,2.284057,0.298,2.296889,0.275
75,1.248972,0.249,2.857745,0.169,2.485754,0.121,2.320153,0.299,2.261367,0.273
76,1.267943,0.256,2.573432,0.168,2.385526,0.123,2.316598,0.297,2.295663,0.274
77,1.237205,0.257,2.627209,0.163,2.347736,0.123,2.261493,0.297,2.235582,0.276
78,1.345602,0.254,2.565804,0.163,2.391224,0.125,2.291603,0.295,2.299956,0.275
79,1.226516,0.258,3.089675,0.165,2.432595,0.125,2.517646,0.293,2.435146,0.279
80,1.247467,0.256,2.761048,0.163,2.391676,0.126,2.314454,0.295,2.285428,0.279
81,1.258652,0.255,2.775166,0.164,2.416821,0.124,2.355607,0.295,2.327767,0.279
82,1.255345,0.253,2.590175,0.160,2.447562,0.120,2.791745,0.294,2.435639,0.277
83,1.348504,0.251,2.693424,0.161,2.405825,0.120,2.349105,0.291,2.317632,0.275
84,1.230338,0.249,2.845659,0.163,2.424207,0.121,2.440384,0.292,2.339025,0.275
85,1.257738,0.248,2.887449,0.166,2.461412,0.125,2.321165,0.297,2.343851,0.275
86,1.240718,0.248,2.571237,0.166,2.378714,0.123,2.339946,0.295,2.735539,0.275
87,1.324772,0.249,2.749209,0.169,2.395440,0.124,2.366393,0.295,2.331510,0.279
88,1.229473,0.247,2.762571,0.165,2.537372,0.121,2.480987,0.294,2.746541,0.277
89,1.342821,0.247,3.080969,0.166,3.347541,0.120,3.989585,0.295,2.485057,0.278
90,1.257166,0.245,2.703508,0.167,2.450928,0.116,2.408150,0.295,2.759473,0.279
91,1.828563,0.246,3.318986,0.169,2.688664,0.121,2.340944,0.295,2.793955,0.280
92,1.288264,0.246,2.849048,0.166,2.620071,0.122,2.699597,0.295,2.547647,0.283
93,1.270750,0.248,2.939492,0.165,2.649051,0.125,2.755981,0.293,3.104470,0.285
94,1.361641,0.247,2.909006,0.163,2.760335,0.126,2.568241,0.293,3.448480,0.282
95,1.258873,0.245,2.912313,0.166,2.622650,0.128,2.562174,0.291,2.812025,0.281
96,1.496148,0.245,3.019040,0.167,2.916610,0.128,2.637630,0.291,2.473490,0.280
97,1.228590,0.247,3.116388,0.171,3.727742,0.131,3.072257,0.291,3.096223,0.281
98,1.377603,0.249,2.921412,0.168,2.580309,0.129,2.479364,0.291,2.378952,0.278
99,1.394931,0.247,2.935523,0.169,2.717638,0.129,2.532931,0.291,2.420602,0.277
