k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.259747,0.329,1.333930,0.329,0.843498,0.329,0.805555,0.329,0.718798,0.329
2,1.218945,0.311,1.295736,0.329,0.965688,0.329,0.929863,0.329,0.866690,0.329
3,1.095885,0.316,1.402552,0.325,1.007182,0.325,1.001267,0.325,1.124529,0.325
4,1.130356,0.331,1.360014,0.321,1.065264,0.315,0.998571,0.324,1.157674,0.319
5,1.151462,0.325,1.496838,0.316,1.213259,0.307,1.092716,0.323,1.022944,0.319
6,1.181636,0.328,1.606833,0.304,1.195156,0.294,1.097157,0.329,1.047919,0.317
7,1.186400,0.326,1.637040,0.306,1.254344,0.283,1.138006,0.331,1.080909,0.315
8,1.210775,0.331,1.752440,0.291,1.349927,0.269,1.249246,0.331,1.661074,0.315
9,2.077899,0.339,1.665765,0.285,1.441134,0.263,1.282992,0.337,1.390420,0.322
10,2.228711,0.326,2.722459,0.284,2.630545,0.263,2.441348,0.342,2.484358,0.328
11,1.969012,0.329,2.937184,0.266,2.346529,0.249,2.522226,0.336,2.637675,0.327
12,2.384304,0.336,3.448201,0.265,3.002952,0.241,2.463127,0.347,3.147433,0.330
13,1.897515,0.333,2.768376,0.251,2.612266,0.233,2.463735,0.345,2.226703,0.328
14,1.816051,0.324,2.930441,0.244,3.132969,0.227,2.230353,0.349,2.740661,0.335
15,1.962843,0.321,2.982426,0.250,2.780802,0.227,2.361401,0.348,2.563906,0.329
16,1.823258,0.323,2.906459,0.244,2.507700,0.219,2.445252,0.349,2.385436,0.334
17,2.002606,0.324,3.049789,0.239,2.536552,0.217,2.906446,0.347,2.383535,0.331
18,1.884865,0.327,2.978262,0.238,2.646841,0.215,3.078315,0.349,2.384344,0.327
19,1.956247,0.323,3.093698,0.231,2.870656,0.215,3.081499,0.352,2.419490,0.325
20,1.925398,0.332,3.113236,0.225,2.628403,0.213,2.978616,0.353,2.618820,0.325
21,1.355607,0.333,2.736023,0.223,2.801523,0.203,2.688964,0.351,2.681901,0.323
22,1.192046,0.333,2.306639,0.217,1.742794,0.197,1.659227,0.351,1.895399,0.321
23,1.227271,0.329,2.185475,0.212,1.729592,0.196,2.069199,0.349,1.984864,0.329
24,1.236753,0.327,2.227756,0.215,1.747093,0.197,2.014333,0.353,2.048846,0.335
25,1.222378,0.324,2.128229,0.213,1.946435,0.193,1.909452,0.349,1.847466,0.336
26,1.124543,0.319,2.284547,0.219,1.920140,0.195,2.044063,0.349,1.694941,0.337
27,1.372754,0.319,2.155412,0.216,1.978572,0.187,1.878621,0.349,1.968996,0.337
28,1.265876,0.318,2.426947,0.211,1.902626,0.183,1.783434,0.348,1.754459,0.330
29,1.231071,0.314,2.371715,0.212,1.809106,0.180,1.844041,0.347,2.091652,0.335
30,1.231159,0.315,2.394493,0.213,1.858769,0.173,1.753896,0.345,1.890012,0.337
31,1.161323,0.309,2.492700,0.205,1.892398,0.171,1.829348,0.348,1.997759,0.335
32,1.231149,0.315,2.401554,0.200,2.016225,0.171,1.818341,0.346,2.090746,0.332
33,1.147875,0.321,2.509210,0.201,2.016890,0.169,1.810141,0.347,1.809895,0.329
34,1.155633,0.315,2.547113,0.201,1.935117,0.167,1.890142,0.349,2.056530,0.331
35,1.182053,0.311,2.623254,0.197,2.222440,0.166,1.859268,0.349,1.819202,0.327
36,1.142954,0.315,2.492758,0.203,2.234695,0.165,1.901317,0.351,1.830038,0.329
37,1.174112,0.313,2.567797,0.206,2.235300,0.167,1.887181,0.351,1.871760,0.329
38,1.233888,0.312,2.531906,0.202,2.152892,0.168,2.183107,0.349,1.839636,0.325
39,1.223867,0.316,2.695540,0.199,2.005346,0.167,1.905517,0.351,2.971958,0.327
40,1.228951,0.319,2.588122,0.196,1.979422,0.156,1.926136,0.349,2.154771,0.328
41,1.158188,0.314,2.546248,0.195,2.258569,0.157,1.953582,0.349,1.869665,0.328
42,1.237975,0.311,2.618859,0.191,2.258546,0.158,1.957178,0.349,1.957640,0.329
43,1.249780,0.309,2.601509,0.196,2.259909,0.159,2.184205,0.348,1.912766,0.329
44,1.288201,0.313,2.649586,0.205,2.250508,0.162,1.940286,0.351,1.873256,0.331
45,1.184956,0.309,2.596992,0.204,2.247474,0.162,2.001576,0.348,1.892822,0.327
46,1.234214,0.307,2.727353,0.201,2.359105,0.161,2.030089,0.350,1.965866,0.322
47,1.186091,0.304,2.636411,0.204,2.310750,0.165,2.001653,0.348,1.947104,0.321
48,1.249781,0.307,2.686194,0.197,2.324701,0.160,1.977477,0.347,1.965166,0.325
49,1.159615,0.305,2.683033,0.201,2.351947,0.155,2.020645,0.344,1.965714,0.329
50,1.204457,0.307,2.624261,0.202,2.322958,0.156,1.994586,0.345,1.975450,0.326
51,1.223572,0.303,2.746625,0.205,2.364590,0.155,2.030026,0.345,1.987342,0.323
52,1.370289,0.305,2.795946,0.205,2.295994,0.154,2.101106,0.343,1.967036,0.323
53,1.174366,0.305,2.837081,0.203,2.467457,0.155,2.068100,0.343,2.035195,0.324
54,1.260683,0.300,2.783884,0.205,2.393722,0.157,2.025670,0.344,2.019179,0.325
55,1.235076,0.299,2.864029,0.208,2.419734,0.158,2.051163,0.345,2.015683,0.330
56,1.326703,0.301,2.726872,0.211,2.451349,0.160,2.056742,0.346,2.036950,0.332
57,1.181533,0.301,2.808956,0.205,2.656747,0.160,2.051713,0.344,2.023279,0.335
58,1.252832,0.303,2.827336,0.209,2.404315,0.159,2.107161,0.343,2.056769,0.333
59,1.181042,0.303,2.727672,0.211,2.466220,0.156,2.208758,0.343,2.030996,0.332
60,1.211288,0.301,2.761068,0.207,2.544911,0.155,2.196239,0.343,2.076290,0.331
61,1.315254,0.301,2.915903,0.205,2.443934,0.155,2.323832,0.345,2.071276,0.329
62,1.306231,0.297,2.786538,0.207,2.445822,0.156,2.516313,0.343,2.127781,0.327
63,1.252610,0.295,2.889899,0.205,2.520497,0.156,2.348679,0.343,2.089565,0.325
64,1.249230,0.299,2.889819,0.209,2.474658,0.158,2.410723,0.342,2.105197,0.325
65,1.267402,0.299,2.818735,0.210,2.513056,0.161,2.181620,0.341,2.153041,0.322
66,1.199156,0.300,2.886323,0.215,2.529883,0.163,2.150778,0.343,2.105097,0.321
67,1.362770,0.297,2.934272,0.217,2.569550,0.163,2.325807,0.342,2.139380,0.326
68,1.255158,0.295,2.928067,0.219,2.582098,0.165,2.335507,0.341,2.127403,0.329
69,1.238066,0.292,2.891454,0.218,2.594297,0.165,2.151981,0.343,2.129116,0.329
70,1.212543,0.292,2.571563,0.217,2.257820,0.165,2.637106,0.343,2.495015,0.326
71,1.187714,0.293,2.909374,0.217,2.656037,0.167,2.533283,0.343,2.231353,0.327
72,1.196986,0.291,2.900107,0.221,2.735509,0.171,2.445204,0.343,2.187229,0.323
73,1.267373,0.287,2.931332,0.222,2.679510,0.173,2.196258,0.342,2.155595,0.325
74,1.252728,0.285,2.984196,0.219,2.618003,0.171,2.428289,0.340,2.167743,0.326
75,1.256479,0.280,2.756426,0.219,2.483387,0.171,2.460030,0.338,2.494281,0.327
76,1.336743,0.281,2.944322,0.219,2.677178,0.170,2.609012,0.337,2.411087,0.323
77,1.297611,0.281,2.873916,0.220,2.622827,0.172,2.486265,0.335,2.459241,0.326
78,1.284169,0.283,3.027179,0.225,2.645657,0.173,2.483571,0.336,2.496428,0.327
79,1.194258,0.281,2.989909,0.223,2.611621,0.173,2.514697,0.336,2.494973,0.325
80,1.339418,0.281,2.817964,0.218,2.740562,0.172,2.720496,0.339,2.639327,0.324
81,1.335265,0.277,2.980531,0.222,2.368780,0.172,2.301098,0.338,2.723004,0.324
82,1.332932,0.280,2.975934,0.219,2.728623,0.169,2.650664,0.337,2.676480,0.321
83,1.353483,0.279,2.666255,0.213,2.333315,0.170,2.524244,0.337,2.645138,0.318
84,1.353620,0.281,2.784041,0.213,2.397265,0.171,2.532855,0.335,2.703312,0.318
85,1.405014,0.281,2.653905,0.218,2.299926,0.170,2.655761,0.332,2.620870,0.315
86,1.327127,0.278,2.637361,0.217,2.340515,0.169,2.589586,0.332,2.633558,0.316
87,1.446908,0.279,2.793559,0.215,2.394441,0.163,2.312705,0.331,2.802330,0.316
88,1.418081,0.279,2.532801,0.217,2.343924,0.161,2.681605,0.331,2.589981,0.317
89,1.428178,0.280,2.765317,0.218,2.894884,0.165,2.782709,0.329,2.673318,0.316
90,1.376166,0.277,2.742875,0.217,2.351973,0.163,2.713222,0.329,2.582314,0.318
91,1.415545,0.273,2.724657,0.216,2.866189,0.169,2.771359,0.328,2.803261,0.317
92,1.363100,0.274,2.668913,0.213,2.437028,0.170,2.565036,0.329,2.671645,0.319
93,1.380984,0.279,2.945524,0.215,2.419166,0.170,2.418272,0.329,2.811750,0.318
94,1.362356,0.282,3.185797,0.217,2.454876,0.168,2.390318,0.329,2.694340,0.317
95,1.287054,0.279,2.918153,0.221,2.390683,0.170,2.350695,0.329,2.401057,0.315
96,1.449994,0.280,2.706950,0.222,2.929030,0.173,2.762771,0.328,2.712273,0.314
97,1.380174,0.279,2.784419,0.223,2.430246,0.173,2.586550,0.328,2.712933,0.317
98,1.323294,0.280,3.114978,0.221,2.428205,0.172,2.355478,0.330,2.853961,0.315
99,1.398691,0.282,2.731069,0.222,2.464146,0.175,2.888227,0.327,2.798050,0.315
