k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.962596,0.305,1.657187,0.305,1.356467,0.305,2.171040,0.305,1.534866,0.305
2,2.030483,0.274,1.927232,0.305,1.740108,0.305,1.688258,0.305,1.555191,0.305
3,1.935537,0.295,1.909059,0.296,1.587483,0.296,1.551681,0.296,1.491748,0.296
4,1.982013,0.306,2.100430,0.283,1.706885,0.280,1.598983,0.289,1.570570,0.287
5,1.848751,0.308,2.147969,0.275,1.742192,0.266,1.660750,0.297,1.655888,0.285
6,3.147413,0.306,3.530564,0.273,2.012177,0.261,3.089055,0.302,1.855145,0.297
7,2.052645,0.321,2.230185,0.273,2.552286,0.258,2.915665,0.301,2.348562,0.296
8,2.635810,0.321,2.385749,0.267,2.217085,0.256,2.642231,0.305,2.546614,0.300
9,2.278872,0.324,2.846460,0.258,2.274509,0.249,1.931491,0.315,1.827375,0.299
10,1.956416,0.317,2.910906,0.257,2.218340,0.250,2.528946,0.315,2.001879,0.301
11,2.028322,0.313,2.583806,0.250,2.087374,0.238,2.352858,0.316,2.206348,0.299
12,2.029870,0.325,2.484395,0.244,2.487702,0.227,2.717386,0.317,1.948235,0.306
13,2.007550,0.326,2.563315,0.238,2.431847,0.219,3.329442,0.319,2.375040,0.310
14,2.296169,0.324,2.811666,0.237,2.140012,0.215,2.074303,0.321,2.475211,0.304
15,2.034487,0.314,2.984357,0.237,2.666291,0.214,2.270475,0.319,2.194130,0.308
16,2.010549,0.313,2.542117,0.236,2.359128,0.209,2.372657,0.323,2.178258,0.313
17,2.323488,0.312,2.879027,0.229,3.278640,0.205,2.882617,0.320,2.280543,0.313
18,2.247904,0.317,3.065855,0.213,2.512076,0.196,2.487562,0.323,2.547342,0.318
19,2.037321,0.321,3.051585,0.209,2.434305,0.193,2.324726,0.325,2.460785,0.321
20,2.291940,0.319,3.623793,0.205,2.372971,0.187,2.382562,0.333,2.230766,0.319
21,2.369109,0.314,3.413435,0.199,2.651595,0.181,2.645138,0.330,2.442108,0.321
22,2.436659,0.317,2.780512,0.196,2.678189,0.177,3.368188,0.331,2.909484,0.319
23,2.166921,0.319,3.005022,0.192,3.182787,0.171,4.290147,0.333,2.302669,0.321
24,2.180161,0.320,3.563400,0.198,2.412277,0.166,3.455202,0.332,2.935908,0.324
25,1.875684,0.321,3.263564,0.193,3.110184,0.163,3.040391,0.333,3.016926,0.324
26,2.149420,0.319,3.285288,0.194,2.490483,0.156,2.364189,0.334,3.564208,0.320
27,2.158502,0.317,2.802990,0.188,2.421291,0.158,3.136465,0.331,2.269109,0.326
28,2.082184,0.312,3.577179,0.183,2.778439,0.151,2.345314,0.326,2.484539,0.319
29,1.926367,0.307,2.901603,0.183,2.527836,0.154,2.423161,0.327,2.435314,0.319
30,1.904398,0.310,2.871926,0.173,2.555310,0.151,2.405953,0.326,2.412633,0.317
31,2.123628,0.310,3.159339,0.172,2.643149,0.153,3.298241,0.323,2.688070,0.323
32,1.966882,0.309,2.873315,0.171,2.879804,0.148,2.708057,0.325,2.584273,0.323
33,2.249874,0.308,3.103440,0.171,2.840695,0.151,2.590978,0.325,2.618610,0.326
34,2.117762,0.309,3.377327,0.173,2.832731,0.147,3.250766,0.322,3.060941,0.312
35,2.574960,0.301,3.432296,0.173,2.746565,0.149,2.986359,0.325,3.054754,0.313
36,2.078867,0.303,3.373137,0.173,3.004376,0.147,2.996010,0.326,3.288113,0.318
37,2.128810,0.300,3.250351,0.172,4.102214,0.149,3.452032,0.328,2.753059,0.315
38,1.977042,0.298,2.918944,0.172,2.582105,0.152,2.534872,0.323,2.460861,0.311
39,1.964876,0.296,3.012949,0.171,2.617123,0.155,3.244511,0.326,2.506772,0.313
40,1.978315,0.298,2.999486,0.170,2.684015,0.151,2.633225,0.326,2.515259,0.319
41,1.953977,0.299,3.923853,0.173,3.069818,0.149,3.337672,0.328,2.591799,0.320
42,2.821838,0.297,3.099037,0.165,3.784772,0.150,3.822114,0.327,3.453207,0.319
43,2.065154,0.295,3.229542,0.167,2.665710,0.153,2.625253,0.329,2.535524,0.315
