k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.148545,0.326,1.076147,0.326,0.770001,0.326,0.744565,0.326,0.758070,0.326
2,1.154314,0.295,1.311701,0.326,0.981833,0.326,0.958396,0.326,0.845284,0.326
3,1.197874,0.307,1.266656,0.319,1.174474,0.319,0.975599,0.319,1.050700,0.319
4,1.183346,0.322,1.560987,0.315,1.098304,0.313,1.099164,0.317,1.221119,0.315
5,1.197671,0.332,1.466506,0.304,1.135040,0.297,1.096757,0.319,1.001398,0.310
6,1.139616,0.327,1.417025,0.303,1.182338,0.287,1.104369,0.319,1.211335,0.303
7,1.110524,0.332,1.653163,0.301,1.292255,0.281,1.153787,0.327,1.109521,0.311
8,1.462472,0.328,1.876548,0.285,1.305375,0.271,1.322575,0.329,1.610525,0.313
9,1.203537,0.325,1.594991,0.285,1.352915,0.273,1.302678,0.335,1.248102,0.319
10,1.498132,0.335,1.909152,0.280,1.761960,0.262,2.723713,0.333,1.384809,0.313
11,1.188980,0.334,2.113899,0.273,1.442688,0.255,1.351413,0.326,1.310293,0.317
12,1.146436,0.322,1.803822,0.257,1.527735,0.237,1.409548,0.335,1.377881,0.319
13,1.267483,0.319,1.876594,0.254,1.482408,0.236,1.403330,0.338,1.373461,0.325
14,1.212030,0.318,2.076831,0.253,1.526857,0.236,1.563827,0.342,1.520684,0.331
15,1.212770,0.331,1.769855,0.251,1.501272,0.236,1.485175,0.347,1.428215,0.337
16,1.224607,0.331,2.118880,0.253,3.252996,0.239,1.497064,0.350,1.490851,0.339
17,1.420174,0.329,1.980552,0.245,1.629278,0.229,1.517204,0.353,1.532206,0.335
18,1.393079,0.331,2.237582,0.239,2.238273,0.225,1.863404,0.351,1.576385,0.331
19,1.174423,0.329,2.023553,0.243,1.633682,0.223,1.628725,0.353,1.529006,0.332
20,1.236083,0.329,1.847247,0.239,1.743473,0.225,1.576516,0.350,1.517800,0.332
21,1.153353,0.326,2.017484,0.231,1.653187,0.221,1.880713,0.347,1.566105,0.336
22,1.296477,0.326,1.959332,0.235,1.739604,0.216,1.779425,0.348,1.610401,0.337
23,1.127824,0.329,1.992169,0.237,1.741107,0.213,2.044879,0.342,1.596310,0.334
24,1.358291,0.328,2.273412,0.237,1.743142,0.210,2.084077,0.341,1.883328,0.329
25,1.198368,0.322,2.280147,0.227,1.924143,0.206,1.718917,0.343,1.689101,0.327
26,1.241097,0.318,2.274865,0.223,2.195101,0.199,1.782996,0.340,1.872292,0.334
27,1.221366,0.317,2.194605,0.225,1.765067,0.195,1.695704,0.340,1.670914,0.334
28,1.248301,0.319,2.306176,0.221,1.955413,0.187,1.820686,0.341,1.735534,0.332
