k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.223340,0.096,1.192773,0.096,0.968071,0.096,0.908652,0.096,0.904741,0.096
2,1.364627,0.089,1.555293,0.093,1.215842,0.093,1.193135,0.093,1.081791,0.093
3,1.360918,0.089,1.617969,0.092,1.276819,0.092,1.311521,0.092,1.177899,0.092
4,1.323438,0.095,1.780171,0.086,1.406083,0.085,1.357171,0.088,1.227960,0.087
5,1.405504,0.099,1.852041,0.083,1.434903,0.084,1.363989,0.087,1.343948,0.087
6,1.356245,0.101,1.896518,0.081,1.543136,0.081,1.451498,0.085,1.316059,0.085
7,1.381855,0.105,1.966868,0.081,1.583089,0.078,1.493137,0.086,1.433759,0.081
8,1.335586,0.111,2.002102,0.081,1.654438,0.079,1.544821,0.087,1.440479,0.083
9,1.378613,0.107,2.012306,0.081,1.623428,0.077,1.672880,0.087,1.500495,0.084
10,1.351595,0.110,2.113556,0.082,1.713220,0.079,1.996186,0.091,1.461040,0.088
11,1.383240,0.113,2.104500,0.085,1.732322,0.079,1.692673,0.097,1.560409,0.091
12,1.362699,0.116,2.095144,0.086,1.810110,0.081,1.689795,0.101,1.645420,0.097
13,1.400609,0.117,2.146169,0.087,1.798450,0.080,1.663381,0.105,1.600660,0.097
14,1.434520,0.115,2.203902,0.087,1.760793,0.079,1.734279,0.103,1.664329,0.099
15,1.345863,0.116,2.179213,0.087,1.848550,0.081,1.699021,0.107,1.636785,0.099
16,1.387921,0.115,2.237876,0.085,1.893241,0.080,1.803128,0.105,1.710691,0.097
17,1.402615,0.115,2.193074,0.083,1.875950,0.081,1.742234,0.105,1.704951,0.098
18,1.409030,0.118,2.819976,0.085,1.926906,0.080,1.790371,0.105,1.750495,0.098
19,1.433003,0.119,2.225251,0.083,1.854751,0.078,1.827070,0.105,1.662627,0.097
20,1.370761,0.119,2.262829,0.084,1.831118,0.078,1.806210,0.110,1.769282,0.101
21,1.409795,0.117,2.292025,0.082,1.925745,0.079,1.873057,0.111,1.769896,0.103
22,1.378650,0.115,2.263864,0.083,1.945840,0.075,1.859506,0.115,1.758957,0.101
23,1.386906,0.113,2.267040,0.086,1.880023,0.076,1.820464,0.115,1.763230,0.103
24,1.420885,0.113,2.282871,0.087,1.917820,0.077,1.909068,0.113,1.797902,0.103
25,1.370327,0.113,2.260482,0.085,1.925045,0.077,1.853014,0.113,1.821084,0.103
26,1.434641,0.117,2.266978,0.085,1.959703,0.077,2.172195,0.116,1.807333,0.107
27,1.408791,0.114,2.277579,0.085,1.940268,0.077,1.837544,0.115,1.773204,0.105
28,1.415835,0.114,2.306367,0.085,1.927862,0.075,2.195960,0.115,1.821907,0.107
29,1.380166,0.111,2.393433,0.083,2.006929,0.074,2.174157,0.115,1.848623,0.110
30,1.379316,0.111,2.349912,0.084,1.940371,0.073,1.913968,0.115,1.791154,0.109
31,1.389992,0.109,2.360943,0.082,1.995262,0.072,1.945625,0.114,1.854924,0.107
32,1.358963,0.111,2.348745,0.081,2.017155,0.072,1.919955,0.113,1.838486,0.109
33,1.320362,0.112,2.310611,0.082,1.989718,0.072,1.925849,0.115,1.846914,0.108
34,1.428095,0.111,2.355558,0.082,2.044546,0.071,1.917664,0.115,1.930892,0.110
35,1.390336,0.109,2.399243,0.080,2.064584,0.070,2.241071,0.116,1.903495,0.109
36,1.320060,0.110,2.353050,0.081,1.975978,0.071,1.924033,0.116,1.845515,0.108
37,1.374636,0.110,2.354529,0.081,2.063692,0.071,1.926279,0.117,1.931256,0.107
38,1.412759,0.110,2.397141,0.083,2.390231,0.071,2.105259,0.119,2.050359,0.107
39,1.283756,0.108,2.074492,0.081,1.725351,0.070,1.619332,0.117,1.582043,0.106
40,1.292479,0.109,2.078797,0.081,1.713515,0.070,1.955686,0.117,1.620028,0.109
41,1.195581,0.108,2.099010,0.081,1.752011,0.071,1.671699,0.117,1.611814,0.107
42,1.198600,0.105,2.065406,0.082,1.698966,0.071,1.636993,0.116,1.606875,0.107
43,1.279236,0.105,1.921168,0.081,1.694198,0.071,1.632036,0.116,1.602657,0.106
44,1.274437,0.104,2.529959,0.080,2.200300,0.069,1.957576,0.117,1.906250,0.108
45,1.281865,0.102,1.936988,0.078,1.969131,0.068,1.986902,0.118,1.958549,0.108
