k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,3.046595,0.089,2.106717,0.089,2.032253,0.089,2.895070,0.089,2.418003,0.089
2,2.903657,0.078,2.836147,0.084,2.271836,0.084,2.958942,0.084,2.359849,0.084
3,2.142591,0.081,2.004936,0.084,1.439365,0.084,1.363035,0.084,1.288521,0.084
4,1.729296,0.083,1.967598,0.075,2.163283,0.075,2.080727,0.076,1.757586,0.076
5,1.691483,0.086,2.463673,0.073,1.901775,0.073,1.607133,0.075,1.470974,0.075
6,3.475224,0.089,2.673061,0.073,2.005153,0.073,1.737019,0.080,1.463278,0.079
7,2.486009,0.086,2.145202,0.073,1.743142,0.073,1.571474,0.081,1.353548,0.079
8,1.451136,0.087,2.151146,0.074,1.762853,0.074,1.688540,0.080,1.617322,0.078
9,1.314736,0.088,2.193890,0.075,1.781186,0.074,1.722792,0.081,1.417261,0.078
10,1.450639,0.087,2.216308,0.076,1.920871,0.075,1.742568,0.085,1.456564,0.083
11,1.538358,0.091,2.320464,0.076,1.957394,0.073,1.874889,0.087,1.805459,0.085
12,1.448922,0.093,2.278860,0.077,1.879817,0.075,1.815757,0.091,1.781124,0.091
13,1.292923,0.089,1.859511,0.078,1.623987,0.075,1.744378,0.093,2.038648,0.091
14,1.527516,0.084,2.360143,0.080,2.000833,0.077,1.916913,0.093,1.833106,0.091
15,1.494034,0.083,2.380429,0.081,2.067914,0.079,1.926908,0.092,1.899675,0.091
16,1.638063,0.079,2.368687,0.081,2.063003,0.080,2.045849,0.091,1.915173,0.090
17,1.685704,0.080,2.391695,0.083,1.996402,0.081,1.929550,0.091,1.915301,0.091
18,1.684155,0.080,2.380030,0.083,2.026869,0.081,1.979382,0.092,1.927000,0.089
19,1.329657,0.082,2.204819,0.083,1.703454,0.079,1.758249,0.092,1.773719,0.088
20,1.532348,0.083,2.089269,0.084,1.790216,0.079,2.208917,0.093,2.062303,0.089
21,1.528311,0.081,2.477311,0.083,2.129130,0.081,2.064699,0.095,2.051493,0.091
22,1.489524,0.081,2.497607,0.084,2.109091,0.081,2.168518,0.095,1.939145,0.089
