k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,2.804640,0.299,2.803780,0.299,2.313577,0.299,2.267824,0.299,2.151681,0.299
2,3.067624,0.293,2.929637,0.299,2.565011,0.299,2.388895,0.299,2.245422,0.299
3,3.578160,0.306,2.681965,0.294,3.052708,0.294,3.157648,0.294,2.567857,0.294
4,2.728057,0.299,3.705792,0.297,2.880998,0.298,2.682780,0.303,2.565295,0.304
5,3.320115,0.316,3.098897,0.287,2.415154,0.285,2.273471,0.294,2.750536,0.295
6,3.376673,0.320,2.859679,0.282,2.686690,0.279,3.441122,0.299,3.176784,0.293
7,2.908170,0.324,4.060964,0.275,3.036520,0.257,2.839444,0.311,2.754443,0.295
8,3.362753,0.321,3.367126,0.271,2.504643,0.255,2.398079,0.317,3.071472,0.305
9,3.404624,0.317,3.071030,0.265,3.690345,0.249,3.352170,0.321,2.962900,0.305
10,2.844468,0.310,4.374959,0.260,3.281070,0.246,3.049979,0.323,2.919977,0.313
11,3.176498,0.309,3.451104,0.257,2.725327,0.241,2.551066,0.324,3.442611,0.314
12,3.335089,0.303,3.113373,0.252,3.882195,0.229,3.921653,0.327,3.126098,0.310
13,2.957196,0.311,4.230436,0.253,3.377007,0.226,3.047718,0.333,3.077190,0.317
14,3.275307,0.308,3.219723,0.244,3.422062,0.213,3.845833,0.331,3.062647,0.320
15,2.882258,0.301,4.541241,0.239,3.523872,0.211,3.241624,0.331,3.205506,0.315
16,3.244649,0.299,3.718549,0.239,2.874176,0.213,2.667659,0.336,3.927408,0.319
17,3.340848,0.305,3.216070,0.236,3.707033,0.211,4.089121,0.336,3.175542,0.323
18,2.926566,0.306,4.578792,0.228,3.673260,0.207,3.368389,0.341,2.744621,0.326
19,3.267311,0.309,3.293843,0.226,3.909655,0.200,4.143135,0.338,3.250407,0.324
20,2.860173,0.311,4.754248,0.223,3.669807,0.197,3.352240,0.338,3.252939,0.326
21,3.597435,0.311,3.816832,0.221,3.008281,0.189,2.875052,0.339,4.060552,0.321
22,3.567091,0.312,3.304153,0.221,3.406671,0.186,4.292319,0.339,3.401204,0.315
23,2.860533,0.309,4.678841,0.217,3.836757,0.183,3.393383,0.337,2.894770,0.313
24,3.411867,0.311,3.286087,0.217,4.264609,0.179,3.752521,0.333,3.437959,0.311
25,2.868421,0.310,4.875189,0.221,3.680316,0.179,3.501093,0.334,3.470636,0.317
26,3.380910,0.307,3.928417,0.216,3.248094,0.177,2.975346,0.337,3.316006,0.310
27,3.248547,0.305,3.522649,0.223,3.099029,0.181,4.332871,0.331,3.716059,0.307
28,3.260711,0.307,3.535332,0.220,3.191738,0.183,3.623937,0.330,3.484127,0.311
29,3.348599,0.304,3.491476,0.216,3.185172,0.179,3.561225,0.333,3.387442,0.314
30,3.295446,0.303,3.912529,0.211,3.199576,0.179,3.204561,0.331,3.574249,0.313
31,2.940093,0.299,3.527876,0.213,3.778008,0.179,3.551227,0.331,3.631614,0.313
32,3.434162,0.299,3.481338,0.207,3.186242,0.178,3.359769,0.329,3.508557,0.311
33,3.182186,0.297,3.926281,0.207,3.232605,0.173,3.432792,0.328,3.577437,0.307
