k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.157964,0.326,0.962161,0.326,1.224721,0.326,0.815659,0.326,0.733196,0.326
2,1.248526,0.295,1.090248,0.326,0.954421,0.326,0.994724,0.326,1.058103,0.326
3,1.217357,0.307,1.870078,0.319,1.629451,0.319,1.578655,0.319,0.995432,0.319
4,1.479515,0.322,1.894663,0.315,1.406136,0.313,1.201773,0.317,0.984519,0.315
5,1.684829,0.332,1.769507,0.304,1.254849,0.297,1.071957,0.319,1.607163,0.310
6,1.396492,0.327,1.601401,0.303,1.393342,0.287,1.526299,0.319,1.476635,0.303
7,1.198504,0.332,1.795997,0.301,1.303180,0.281,1.203731,0.327,1.113719,0.311
8,1.182882,0.328,2.367294,0.285,1.399472,0.271,1.559207,0.329,2.558935,0.313
9,1.494892,0.325,1.758311,0.285,1.331812,0.273,1.274818,0.335,1.295869,0.319
10,1.236503,0.335,1.641418,0.280,1.348862,0.262,1.512081,0.333,1.604169,0.313
11,1.241256,0.334,1.765929,0.273,1.470563,0.255,1.330160,0.326,1.425419,0.317
12,1.540812,0.322,1.867840,0.257,1.477508,0.237,1.664609,0.335,1.419389,0.319
13,1.171328,0.319,2.667245,0.254,1.560426,0.236,1.688228,0.338,1.410494,0.325
14,1.209551,0.318,1.918691,0.253,1.518353,0.236,1.575387,0.342,2.179834,0.331
15,1.214535,0.331,1.834499,0.251,1.517366,0.236,1.528948,0.347,2.402990,0.337
16,1.208526,0.331,1.869684,0.253,1.692270,0.239,1.671502,0.350,2.124808,0.339
17,1.246922,0.329,1.845873,0.245,1.603448,0.229,1.516472,0.353,1.521740,0.335
18,1.235433,0.331,1.985726,0.239,1.937770,0.225,1.637657,0.351,1.543890,0.331
19,1.199860,0.329,2.005295,0.243,1.634745,0.223,1.613740,0.353,1.634618,0.332
20,1.180248,0.329,3.027421,0.239,2.601619,0.225,1.730321,0.350,1.544683,0.332
21,1.195308,0.326,2.649887,0.231,1.728449,0.221,1.675594,0.347,1.626570,0.336
22,1.243997,0.326,1.932772,0.235,1.702056,0.216,1.645912,0.348,1.734172,0.337
23,1.209358,0.329,3.001044,0.237,1.828637,0.213,1.649484,0.342,1.633610,0.334
24,1.219910,0.328,2.189402,0.237,1.748982,0.210,1.940249,0.341,1.746026,0.329
25,1.239545,0.322,2.129090,0.227,1.828727,0.206,1.651183,0.343,1.628425,0.327
26,1.207484,0.318,2.154048,0.223,1.898343,0.199,1.745936,0.340,1.832755,0.334
27,1.261089,0.317,2.144278,0.225,1.960622,0.195,1.778414,0.340,1.744497,0.334
28,1.221011,0.319,2.214109,0.221,1.914920,0.187,1.785311,0.341,1.887653,0.332
29,1.145065,0.315,2.172285,0.222,2.047376,0.185,1.806513,0.341,1.800025,0.329
30,1.203706,0.316,2.277558,0.216,1.908444,0.183,1.753634,0.345,1.731112,0.323
31,1.339149,0.311,2.194382,0.215,2.339817,0.180,2.738312,0.347,1.754704,0.324
32,1.257819,0.313,2.359700,0.212,2.764800,0.176,1.836625,0.343,1.781600,0.321
33,1.325373,0.315,2.085453,0.213,1.859670,0.179,1.831708,0.343,1.791047,0.319
34,1.247926,0.308,2.112462,0.213,1.931362,0.177,1.858383,0.344,1.854672,0.319
35,1.312039,0.303,2.118364,0.216,1.925296,0.174,1.844197,0.345,1.791392,0.315
36,1.196942,0.303,2.236120,0.218,1.977305,0.171,1.861974,0.347,1.823429,0.315
37,1.213805,0.304,2.415827,0.219,2.013531,0.176,2.008204,0.345,2.345182,0.311
38,1.247491,0.304,2.272573,0.219,1.993883,0.171,1.884041,0.345,2.177261,0.316
39,1.207445,0.301,2.304444,0.214,2.220697,0.169,1.935742,0.347,2.006669,0.318
40,1.234574,0.299,2.279888,0.211,1.996639,0.165,1.921345,0.347,1.917347,0.318
41,1.545427,0.297,2.783968,0.213,2.411409,0.165,1.942796,0.345,1.904345,0.318
42,1.666916,0.299,2.523852,0.213,2.312791,0.164,2.454389,0.344,2.030024,0.320
43,1.233215,0.302,2.327385,0.213,2.162393,0.165,2.587028,0.347,2.227796,0.321
44,1.246814,0.296,2.655607,0.213,2.219164,0.162,2.057926,0.347,2.915041,0.313
45,1.236635,0.297,3.657555,0.213,2.091150,0.161,2.029236,0.344,1.984002,0.315
46,1.514888,0.297,2.393968,0.209,2.129228,0.156,2.017499,0.345,1.988029,0.317
47,1.235233,0.299,2.283907,0.211,2.012403,0.162,1.950297,0.342,1.919619,0.313
48,1.180312,0.298,2.998432,0.216,2.327943,0.165,2.099433,0.342,2.075875,0.316
49,1.270185,0.299,2.307426,0.213,2.092562,0.161,2.009653,0.343,1.982569,0.317
50,1.311899,0.298,2.419476,0.213,2.165505,0.167,2.027868,0.341,2.005372,0.317
51,1.216626,0.297,3.439186,0.216,3.239168,0.167,2.272263,0.343,2.008440,0.316
52,1.291684,0.299,2.620099,0.218,2.203256,0.169,2.089417,0.341,2.092747,0.313
53,1.243683,0.295,2.467021,0.220,2.158410,0.173,2.097346,0.342,2.073021,0.315
54,1.203255,0.297,2.445691,0.214,2.133666,0.173,2.044943,0.340,2.041126,0.315
55,1.249638,0.295,3.004711,0.217,2.124567,0.174,2.041143,0.337,2.009303,0.319
56,1.263625,0.291,2.518512,0.220,2.208620,0.173,2.182517,0.339,2.078316,0.317
57,1.280363,0.296,3.986350,0.217,2.211790,0.172,2.109149,0.339,2.088545,0.317
58,1.256613,0.297,2.613193,0.216,2.352898,0.171,2.098241,0.336,2.094185,0.323
59,1.236599,0.293,2.487079,0.215,2.190087,0.168,2.202701,0.338,2.128282,0.326
60,1.242743,0.293,2.877154,0.215,2.211350,0.169,2.124428,0.337,2.103066,0.325
61,1.420916,0.286,2.668332,0.217,2.799147,0.177,2.756559,0.338,2.115109,0.327
62,1.858466,0.287,2.803420,0.216,2.248902,0.179,2.676018,0.341,2.372525,0.328
63,1.159976,0.282,2.820733,0.215,2.184589,0.174,2.176749,0.339,2.190733,0.330
64,1.245629,0.281,2.564771,0.216,2.325593,0.178,2.317089,0.341,2.186267,0.328
65,1.473051,0.279,2.769542,0.211,3.290723,0.177,3.234199,0.339,2.227020,0.327
66,1.591138,0.281,3.840449,0.212,3.480365,0.177,2.270307,0.341,2.138861,0.327
67,1.301697,0.277,2.565032,0.212,2.245314,0.179,2.181539,0.339,2.141439,0.328
68,1.245715,0.278,2.556936,0.211,2.283925,0.175,2.190088,0.337,2.149232,0.329
69,1.260224,0.278,2.732288,0.210,2.222636,0.167,2.167778,0.333,2.166119,0.332
70,1.252857,0.278,2.534914,0.213,2.283651,0.169,2.159497,0.335,2.182310,0.333
71,1.254370,0.275,2.602403,0.212,2.311214,0.175,2.236304,0.333,2.162002,0.332
72,1.199440,0.277,2.550354,0.212,2.264921,0.175,2.233185,0.331,2.196756,0.331
73,1.209147,0.273,2.463965,0.218,2.259737,0.180,2.223695,0.331,2.157158,0.327
74,1.208302,0.272,2.470119,0.217,2.300635,0.176,2.241219,0.333,2.184105,0.325
75,1.288010,0.273,2.572924,0.212,2.285231,0.175,2.196003,0.334,2.197040,0.323
76,1.282068,0.271,2.431531,0.217,2.248708,0.178,2.152031,0.333,2.151290,0.325
77,1.283909,0.277,2.584782,0.211,2.263481,0.177,2.209667,0.331,2.232516,0.323
78,1.281566,0.275,2.661303,0.214,2.319008,0.177,2.183984,0.329,2.187422,0.321
79,1.291975,0.276,2.586712,0.214,2.313215,0.177,2.232950,0.329,2.207354,0.321
80,1.203109,0.272,2.610770,0.215,2.358448,0.180,2.246850,0.329,2.249943,0.321
81,1.300243,0.271,2.527170,0.216,2.347370,0.183,2.271884,0.329,2.259290,0.316
82,1.290208,0.271,2.703482,0.222,2.378393,0.186,2.265863,0.329,2.240001,0.314
83,1.307139,0.269,2.643274,0.221,2.335544,0.190,2.306889,0.327,2.271796,0.313
84,1.198634,0.267,2.494714,0.219,2.348870,0.181,2.282450,0.327,2.246070,0.312
85,1.195794,0.267,2.529647,0.214,3.175470,0.175,2.258054,0.325,2.223112,0.315
86,1.231924,0.269,2.654820,0.210,2.286155,0.178,2.218123,0.327,2.199855,0.313
87,1.285851,0.266,2.601801,0.217,2.307541,0.176,2.244753,0.326,2.214295,0.316
88,1.209001,0.265,2.600195,0.218,2.323873,0.173,2.263956,0.325,2.260794,0.314
89,1.277062,0.267,2.656793,0.221,2.343632,0.173,2.241832,0.327,2.253720,0.313
90,1.242435,0.265,2.522066,0.218,2.307047,0.174,2.242501,0.326,2.226365,0.315
91,1.262465,0.263,2.539367,0.219,2.354358,0.173,2.257955,0.325,2.266168,0.315
92,1.284985,0.265,2.608604,0.221,2.351842,0.167,2.274790,0.322,2.227926,0.316
93,1.279127,0.264,2.713460,0.218,2.344967,0.165,2.303395,0.322,2.273404,0.315
94,1.261111,0.263,2.549162,0.220,2.400295,0.166,2.341836,0.324,2.291080,0.315
95,1.272271,0.267,2.542627,0.222,2.333810,0.163,2.302672,0.325,2.257399,0.316
96,1.197155,0.265,2.614305,0.224,2.333752,0.164,2.263394,0.325,2.247105,0.319
97,1.205522,0.266,2.704056,0.226,2.384808,0.165,2.263163,0.324,2.293728,0.317
98,1.289420,0.269,2.654999,0.224,2.418624,0.162,2.331999,0.323,2.309470,0.315
99,1.218536,0.268,2.552291,0.221,2.368189,0.165,2.327711,0.321,2.265666,0.315
