k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,2.367784,0.274,0.602342,0.274,0.566825,0.274,0.456018,0.274,0.474796,0.274
2,2.788020,0.256,0.635590,0.276,0.607338,0.276,0.473297,0.276,0.450352,0.276
3,2.377333,0.272,0.646846,0.261,0.628391,0.261,0.524349,0.261,0.746472,0.261
4,2.467873,0.275,0.666891,0.251,0.671631,0.247,0.680082,0.259,0.577677,0.255
5,2.627092,0.283,0.666089,0.241,0.690270,0.239,0.942238,0.263,0.483195,0.256
6,2.804096,0.282,0.729284,0.237,0.770824,0.226,0.864776,0.273,0.539358,0.261
7,2.407119,0.291,0.720169,0.231,0.959334,0.213,0.635512,0.279,0.546446,0.267
8,2.338670,0.293,0.732605,0.231,0.916604,0.219,0.609987,0.285,0.523605,0.272
9,2.572103,0.291,0.753871,0.223,1.101447,0.208,0.594296,0.293,0.553117,0.281
10,2.645449,0.292,0.779007,0.218,1.156196,0.201,0.630348,0.294,0.581950,0.277
11,2.748673,0.289,0.763297,0.214,1.113224,0.195,0.653926,0.301,0.585177,0.283
12,2.263584,0.301,0.806737,0.204,1.273376,0.193,0.648779,0.303,0.629759,0.282
13,2.724903,0.295,0.822366,0.194,1.192547,0.179,0.658811,0.304,0.639554,0.284
14,2.336505,0.305,0.840884,0.189,1.158800,0.175,0.662108,0.303,0.663682,0.281
15,2.430084,0.305,0.846540,0.191,1.151193,0.175,0.685648,0.301,0.680863,0.286
16,2.322669,0.301,0.847076,0.185,1.269567,0.170,0.702941,0.309,0.681696,0.282
17,2.613612,0.301,0.874539,0.180,1.209903,0.167,0.715994,0.309,0.691602,0.282
18,2.571566,0.302,0.870633,0.177,1.213267,0.164,0.780911,0.312,0.730545,0.281
19,2.331407,0.305,1.003263,0.172,1.126728,0.159,0.831282,0.312,0.732295,0.283
20,2.287445,0.304,0.951829,0.169,1.203138,0.154,0.814530,0.315,0.758394,0.285
21,2.401494,0.304,1.026181,0.163,1.007882,0.147,0.891411,0.311,0.805260,0.284
22,2.298391,0.306,1.009246,0.159,1.078911,0.139,0.857946,0.314,0.823459,0.287
23,2.752363,0.297,1.010924,0.155,1.037456,0.139,0.886862,0.310,0.789512,0.287
24,2.372643,0.302,1.023291,0.151,1.075037,0.137,0.890150,0.309,0.797809,0.283
25,2.320117,0.300,1.071053,0.155,1.081259,0.143,0.898089,0.306,0.797067,0.279
26,2.366296,0.297,1.055421,0.147,1.114075,0.135,0.918220,0.310,0.817549,0.281
27,2.314363,0.298,1.183876,0.144,1.046060,0.134,0.944003,0.307,0.814873,0.283
28,2.584689,0.299,1.146542,0.148,1.045431,0.134,0.909098,0.308,0.815191,0.286
29,2.388925,0.303,1.162587,0.148,1.102180,0.131,0.878812,0.309,0.876526,0.287
30,2.362494,0.301,1.162595,0.150,0.891353,0.131,0.901053,0.310,0.779969,0.293
31,2.662515,0.304,1.227344,0.143,0.958023,0.128,0.903468,0.313,0.798100,0.295
32,2.391383,0.305,1.238634,0.137,1.035809,0.128,0.873394,0.309,0.821315,0.297
33,2.521236,0.307,1.199913,0.134,0.988285,0.130,0.857429,0.309,0.794848,0.299
34,2.359337,0.309,1.087035,0.137,0.955473,0.123,0.852420,0.309,0.787598,0.299
35,2.313983,0.301,1.220258,0.136,0.932877,0.125,0.894434,0.309,0.806289,0.303
36,2.369116,0.297,1.204576,0.139,0.923190,0.129,0.865746,0.310,0.782868,0.304
37,2.356385,0.302,1.216652,0.140,0.940850,0.125,0.851934,0.315,0.769556,0.303
38,2.386381,0.302,1.279835,0.137,0.957178,0.125,0.860846,0.311,0.779919,0.302
39,2.581397,0.299,1.256010,0.136,1.034021,0.124,0.853308,0.313,0.777185,0.305
40,2.712160,0.299,1.428929,0.133,0.957464,0.121,0.849202,0.311,0.824654,0.305
41,2.653195,0.297,1.342037,0.135,1.015804,0.120,0.819737,0.311,0.763959,0.306
42,2.325696,0.301,1.314511,0.137,0.989877,0.115,0.865456,0.317,0.754885,0.311
43,2.617675,0.298,1.336788,0.136,0.960157,0.115,0.861243,0.317,0.800047,0.306
44,2.316339,0.298,1.408181,0.134,0.987603,0.115,0.819723,0.316,0.753383,0.297
45,2.283455,0.294,1.422966,0.138,1.006788,0.117,0.852094,0.318,0.722968,0.297
46,2.340698,0.295,1.435022,0.140,1.027434,0.117,0.848720,0.318,0.801038,0.295
47,2.334901,0.291,1.422228,0.141,1.039302,0.113,0.843194,0.319,0.772309,0.297
48,2.319298,0.299,1.361431,0.141,0.994654,0.117,0.856458,0.319,0.775630,0.296
49,2.532669,0.292,1.340113,0.137,1.020377,0.119,0.871688,0.319,0.764755,0.295
50,2.758842,0.299,1.455850,0.137,1.014683,0.116,0.821719,0.319,0.784386,0.297
51,2.815465,0.301,1.398321,0.137,1.041941,0.122,0.831223,0.319,0.737539,0.298
52,2.384134,0.302,1.280294,0.139,1.044623,0.117,0.842220,0.315,0.805783,0.297
53,2.359910,0.300,1.437266,0.140,1.020025,0.118,0.816841,0.317,0.766393,0.298
54,2.468895,0.298,1.460635,0.139,1.039932,0.116,0.843699,0.319,0.760400,0.297
55,2.349853,0.297,1.422566,0.137,1.039832,0.116,0.863945,0.317,0.746492,0.295
56,2.421830,0.293,1.377608,0.136,1.043799,0.117,0.803971,0.319,0.793335,0.296
57,2.318026,0.291,1.290082,0.141,1.029790,0.116,0.828256,0.319,0.776627,0.299
58,2.694689,0.297,1.403999,0.138,1.043165,0.114,0.782774,0.317,0.825320,0.300
59,2.375663,0.297,1.523005,0.139,1.039811,0.116,0.830665,0.315,0.772895,0.295
60,2.370837,0.297,1.434167,0.143,1.005944,0.119,0.793202,0.314,0.765135,0.298
61,2.379998,0.297,1.363422,0.138,1.046536,0.115,0.779460,0.316,0.757690,0.296
62,2.378379,0.297,1.346819,0.139,1.026635,0.112,0.826213,0.317,0.806559,0.297
63,2.311400,0.296,1.453543,0.141,1.051244,0.109,0.804403,0.317,0.816871,0.301
64,2.368649,0.294,1.455514,0.144,1.064915,0.110,0.799933,0.317,0.756641,0.299
65,2.298406,0.294,1.492798,0.143,1.088463,0.110,0.798378,0.317,0.779529,0.298
66,2.295302,0.292,1.393299,0.137,1.039108,0.111,0.800868,0.319,0.774896,0.292
67,2.886160,0.292,1.445710,0.137,1.090695,0.110,0.792644,0.319,0.767477,0.293
68,2.690574,0.292,1.523529,0.137,1.092979,0.109,0.809335,0.317,0.786474,0.289
69,2.346334,0.293,1.431599,0.134,1.038393,0.109,0.813590,0.319,0.816753,0.292
70,2.720123,0.293,1.403650,0.136,1.076064,0.110,0.811012,0.319,0.766408,0.295
71,2.331349,0.291,1.407968,0.135,1.069343,0.107,0.809086,0.317,0.822373,0.295
72,2.327210,0.292,1.468363,0.135,1.071219,0.105,0.822747,0.316,0.781545,0.297
73,2.445568,0.291,1.476313,0.135,1.079106,0.103,0.819004,0.315,0.794877,0.298
74,2.357743,0.291,1.572992,0.136,1.086393,0.103,0.797236,0.316,0.824884,0.296
75,2.356450,0.294,1.419600,0.135,1.090438,0.107,0.828397,0.316,0.776440,0.294
76,2.328737,0.291,1.520831,0.135,1.087858,0.107,0.819085,0.315,0.823381,0.295
77,2.369188,0.289,1.609197,0.133,1.115326,0.107,0.862045,0.317,0.800517,0.299
78,2.319972,0.289,1.508713,0.135,1.124055,0.107,0.787064,0.317,0.765488,0.299
79,2.827398,0.293,1.646245,0.135,1.056534,0.107,0.839807,0.317,0.773759,0.298
80,2.342002,0.296,1.609483,0.128,1.113235,0.108,0.829435,0.317,0.788196,0.300
81,2.793262,0.291,1.732658,0.131,1.109220,0.107,0.826805,0.315,0.768477,0.299
82,2.651941,0.290,1.697850,0.134,1.104018,0.111,0.823179,0.319,0.771165,0.297
83,2.321210,0.287,1.618152,0.135,1.116197,0.111,0.864816,0.320,0.823307,0.296
84,2.640030,0.283,1.532203,0.134,1.194471,0.109,0.812357,0.320,0.776135,0.299
85,2.714186,0.288,1.717108,0.135,1.094821,0.107,0.817540,0.319,0.787488,0.299
86,2.447595,0.290,1.601288,0.131,1.144300,0.106,0.838885,0.318,0.796473,0.298
87,2.331449,0.291,1.594404,0.131,1.133434,0.107,0.834275,0.317,0.777771,0.298
88,2.384384,0.290,1.589739,0.131,1.101896,0.107,0.853241,0.316,0.808680,0.301
89,2.591608,0.293,1.659446,0.133,1.119584,0.106,0.828199,0.318,0.842050,0.304
90,2.407473,0.292,1.527499,0.138,1.109577,0.105,0.829128,0.318,0.794240,0.302
91,2.274664,0.289,1.613485,0.139,1.109595,0.105,0.871986,0.317,0.806854,0.303
92,2.781779,0.287,1.521223,0.141,1.112007,0.107,0.847660,0.317,0.798679,0.305
93,2.340510,0.293,1.496784,0.143,1.094628,0.105,0.863584,0.316,0.783631,0.305
94,2.345886,0.293,1.547275,0.143,1.112662,0.109,0.811100,0.318,0.836742,0.306
95,2.459367,0.293,1.555485,0.145,1.157074,0.110,0.825107,0.317,0.783567,0.309
96,2.495289,0.289,1.563207,0.147,1.168667,0.110,0.823116,0.319,0.823067,0.309
97,2.447326,0.287,1.493613,0.153,1.140398,0.112,0.840940,0.317,0.793724,0.307
98,2.341622,0.289,1.419513,0.153,1.126418,0.115,0.811317,0.316,0.829940,0.303
99,2.505724,0.291,1.682726,0.150,1.144840,0.114,0.827488,0.316,0.808873,0.298
