k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,1.605695,0.316,1.429385,0.316,1.283552,0.316,1.191761,0.316,1.273464,0.316
2,1.498178,0.287,1.742090,0.317,1.421793,0.317,1.392932,0.317,1.222574,0.317
3,1.555917,0.315,1.842305,0.313,1.370395,0.313,1.443588,0.313,1.552833,0.313
4,1.488733,0.319,1.901755,0.302,1.575982,0.300,1.444670,0.313,1.413907,0.311
5,1.552550,0.321,2.291189,0.293,1.681024,0.283,1.754452,0.319,1.509835,0.309
6,1.550616,0.327,2.041090,0.289,1.672620,0.279,1.499151,0.327,1.810759,0.320
7,1.583563,0.329,2.069144,0.277,1.717282,0.266,1.589036,0.325,1.653345,0.316
8,1.604847,0.337,2.126828,0.273,1.764823,0.259,1.798221,0.333,1.837291,0.327
9,1.545736,0.343,2.239886,0.261,1.803179,0.245,1.821418,0.342,1.945631,0.327
10,1.482141,0.339,2.273941,0.258,1.786215,0.237,1.784032,0.339,1.803609,0.335
11,1.581812,0.331,2.312544,0.251,1.981003,0.234,1.887369,0.343,1.725073,0.335
12,1.468061,0.335,2.405141,0.244,1.976104,0.227,1.772749,0.343,1.926864,0.329
13,1.498101,0.338,2.323714,0.232,2.071402,0.215,1.957991,0.344,1.923670,0.327
14,1.524977,0.343,2.366687,0.232,1.997951,0.213,1.960891,0.349,2.296332,0.325
15,1.504907,0.351,2.424456,0.229,2.016723,0.204,1.992719,0.349,1.861490,0.331
16,1.509663,0.350,2.488426,0.223,2.130875,0.205,2.009395,0.349,2.008529,0.325
17,1.580121,0.347,2.559044,0.223,2.156256,0.193,2.062389,0.353,2.170626,0.327
18,1.498754,0.347,2.572499,0.213,2.175509,0.186,2.322540,0.355,2.359090,0.328
19,1.569155,0.342,2.613091,0.211,2.176407,0.183,2.310614,0.355,2.293011,0.325
20,1.699185,0.339,2.648608,0.201,2.154293,0.177,2.461051,0.358,2.232155,0.326
21,1.993404,0.345,2.677251,0.204,2.222702,0.179,2.293534,0.357,2.547921,0.321
22,1.501057,0.337,3.205742,0.191,2.463903,0.173,3.043882,0.356,2.529883,0.331
23,1.554864,0.337,4.080393,0.192,2.400724,0.171,3.510522,0.352,3.405352,0.333
24,1.578642,0.339,2.876181,0.193,2.324135,0.171,2.313983,0.353,2.820082,0.345
25,1.635602,0.342,2.764928,0.197,3.271194,0.175,3.293429,0.355,2.565254,0.341
26,1.586651,0.343,2.851717,0.193,2.716359,0.170,2.951474,0.360,3.521742,0.341
27,2.009176,0.339,3.048370,0.193,3.219989,0.167,2.729975,0.361,2.256348,0.343
28,1.729628,0.336,3.021578,0.185,2.577118,0.166,2.485085,0.361,3.520753,0.341
29,2.260527,0.332,2.844790,0.183,2.308538,0.162,2.342114,0.360,3.082056,0.346
30,1.589098,0.337,3.503661,0.187,3.277280,0.165,2.684533,0.361,4.206413,0.343
31,1.996561,0.341,2.925471,0.185,2.349285,0.161,2.393794,0.361,2.908365,0.343
32,1.862758,0.335,3.072378,0.176,4.195515,0.157,3.340164,0.364,2.791556,0.340
33,1.591143,0.333,2.903539,0.171,2.370562,0.155,2.283180,0.358,2.254799,0.341
34,1.578829,0.336,2.968690,0.173,2.433794,0.157,2.281059,0.360,2.621800,0.340
35,1.764778,0.336,3.224561,0.173,2.652484,0.149,2.613852,0.362,2.820579,0.344
36,1.584100,0.335,3.256839,0.176,3.076027,0.151,2.573209,0.363,2.479284,0.345
37,2.755331,0.339,3.642819,0.179,5.017619,0.153,5.622256,0.364,4.128323,0.344
38,3.662108,0.336,2.785655,0.185,2.465909,0.153,2.807337,0.363,2.368119,0.342
39,1.598802,0.337,3.007990,0.183,2.582762,0.153,2.383437,0.363,2.625424,0.342
40,1.713347,0.337,3.175870,0.188,2.748447,0.156,2.646067,0.359,2.419245,0.341
41,1.705335,0.337,3.373828,0.183,3.055576,0.147,2.669853,0.361,2.498514,0.339
42,1.996423,0.333,3.672695,0.183,2.780424,0.148,2.451238,0.359,2.822388,0.335
43,1.855095,0.335,4.200380,0.179,3.235448,0.147,2.820683,0.359,2.989044,0.337
44,2.591363,0.341,4.208126,0.169,3.514056,0.139,3.575812,0.359,4.178147,0.340
45,2.531168,0.337,5.047635,0.165,3.885876,0.135,5.367996,0.363,4.873621,0.341
46,1.942341,0.337,3.832951,0.163,3.483316,0.135,2.888459,0.361,3.117138,0.343
47,2.758429,0.337,4.037472,0.164,3.906570,0.137,3.529615,0.361,3.397107,0.343
48,2.607804,0.334,4.018190,0.169,4.130371,0.137,3.929851,0.363,3.337848,0.345
49,2.972140,0.333,4.813815,0.167,4.247971,0.135,2.962301,0.365,2.866010,0.342
50,2.227805,0.338,3.899432,0.165,3.760531,0.138,3.540534,0.366,4.425625,0.344
51,1.748351,0.339,3.482535,0.163,3.182276,0.139,2.716663,0.365,2.744570,0.342
52,2.152959,0.337,3.610669,0.167,3.377010,0.143,3.318278,0.370,3.084632,0.341
53,1.695771,0.332,3.339858,0.167,3.087909,0.147,2.719054,0.369,2.530017,0.341
54,1.553720,0.332,3.311613,0.172,3.216759,0.149,2.617720,0.369,2.609021,0.337
55,1.554085,0.334,3.473893,0.176,3.193219,0.148,2.976105,0.369,3.004793,0.335
56,1.847000,0.333,4.823625,0.175,3.178256,0.150,3.156873,0.367,4.350015,0.333
57,3.720477,0.330,2.952320,0.174,3.201056,0.146,2.702636,0.366,3.020730,0.335
58,1.578942,0.333,3.247689,0.179,2.708662,0.150,2.959523,0.370,2.926493,0.337
59,1.845572,0.330,3.311687,0.183,3.803961,0.150,3.543077,0.369,3.180089,0.341
60,1.884585,0.331,4.654781,0.179,4.720288,0.150,3.928042,0.365,4.457087,0.336
61,3.626518,0.329,4.176208,0.183,5.469373,0.150,4.056081,0.365,3.980196,0.335
62,3.734160,0.330,4.007806,0.180,4.628694,0.145,3.997790,0.366,4.020320,0.341
63,3.185822,0.331,4.982354,0.173,4.559777,0.141,3.675346,0.366,3.554077,0.341
64,3.451170,0.328,5.129473,0.169,6.538136,0.140,5.548978,0.365,5.876292,0.336
65,2.814007,0.321,4.820472,0.171,6.200457,0.139,5.825741,0.362,4.558932,0.339
66,3.248586,0.316,4.673850,0.172,4.141724,0.138,4.257966,0.362,3.804900,0.339
67,3.106341,0.313,5.205147,0.173,4.337822,0.139,6.087199,0.361,3.780659,0.340
68,2.883621,0.315,4.791749,0.173,4.256326,0.136,4.181733,0.361,3.463860,0.341
69,3.890571,0.314,5.665562,0.165,3.794492,0.135,5.544974,0.360,4.374238,0.341
70,3.485434,0.312,4.327608,0.164,4.320208,0.137,4.090911,0.359,4.496256,0.341
71,3.733228,0.311,4.222373,0.165,4.911552,0.137,4.212314,0.360,5.017499,0.340
72,3.000205,0.313,4.573442,0.163,3.189161,0.136,4.453134,0.360,4.155320,0.337
73,3.854948,0.315,5.086534,0.160,3.659288,0.135,4.337802,0.359,4.242699,0.337
74,2.906161,0.315,5.297774,0.168,4.596489,0.132,3.916026,0.361,4.315711,0.337
75,3.669724,0.315,7.705463,0.171,7.327149,0.135,7.050046,0.360,5.599974,0.337
76,3.962520,0.317,6.524007,0.173,6.473868,0.137,5.184701,0.361,5.124048,0.340
77,3.162537,0.313,7.205433,0.179,6.286136,0.141,6.438223,0.361,4.554837,0.343
78,3.405973,0.312,7.065823,0.177,6.985857,0.142,6.342075,0.361,5.850849,0.345
79,4.646103,0.316,7.855219,0.173,5.491537,0.137,5.338583,0.361,5.468548,0.343
80,5.596369,0.315,7.926563,0.173,6.579014,0.133,6.562677,0.360,5.968044,0.347
81,4.086316,0.316,7.062999,0.172,5.033512,0.137,4.743704,0.359,5.446760,0.346
82,3.466471,0.314,7.162126,0.174,6.593430,0.138,5.613328,0.358,6.065038,0.345
