k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,2.240495,0.332,0.617519,0.332,0.577785,0.332,0.415140,0.332,0.461202,0.332
2,2.415376,0.295,0.600242,0.332,0.617115,0.332,0.466460,0.332,0.424345,0.332
3,2.490868,0.299,0.599987,0.326,0.586027,0.326,0.510146,0.326,0.654962,0.326
4,2.218269,0.305,0.634701,0.317,0.649255,0.315,0.547949,0.325,0.624677,0.322
5,2.293270,0.323,0.669610,0.300,0.817116,0.291,0.763232,0.320,0.484675,0.313
6,2.198421,0.317,0.700071,0.285,0.741336,0.272,0.754226,0.327,0.489434,0.313
7,2.604136,0.327,0.674211,0.278,0.914236,0.258,0.651050,0.324,0.505249,0.312
8,2.361524,0.334,0.725102,0.264,0.861361,0.243,0.638665,0.331,0.533332,0.308
9,2.327016,0.341,0.705458,0.267,1.014382,0.244,0.572053,0.337,0.534609,0.315
10,2.266458,0.345,0.728851,0.261,0.980315,0.242,0.579771,0.344,0.531474,0.318
11,2.262600,0.337,0.745083,0.254,1.081600,0.233,0.614912,0.349,0.512523,0.323
12,2.202491,0.341,0.764526,0.247,1.041827,0.226,0.588133,0.348,0.575044,0.329
13,2.205517,0.347,0.777044,0.235,1.147521,0.217,0.612885,0.355,0.572828,0.335
14,2.146627,0.345,0.764508,0.228,1.238470,0.212,0.638166,0.359,0.596864,0.331
15,2.367731,0.345,0.766759,0.225,1.233686,0.206,0.635268,0.360,0.639165,0.327
16,2.186918,0.351,0.842732,0.230,1.188143,0.207,0.668886,0.357,0.622175,0.331
17,2.316185,0.344,0.801408,0.226,1.165704,0.203,0.704296,0.354,0.641886,0.331
18,2.232920,0.344,0.819900,0.228,1.215333,0.197,0.716984,0.353,0.700857,0.335
19,2.255430,0.345,0.847346,0.230,1.247227,0.199,0.737896,0.360,0.708414,0.337
20,2.220143,0.346,0.897071,0.232,1.011807,0.201,0.772957,0.359,0.706512,0.342
21,2.530116,0.349,0.900172,0.229,1.154341,0.192,0.786728,0.362,0.705988,0.337
22,2.199458,0.351,0.898991,0.229,1.044329,0.183,0.786326,0.363,0.697106,0.330
23,2.259435,0.347,0.865555,0.217,1.220623,0.182,0.846093,0.361,0.736964,0.323
24,2.235765,0.341,1.015643,0.204,1.004889,0.173,0.884404,0.361,0.751757,0.330
25,2.617949,0.343,0.930505,0.201,1.068499,0.171,0.826614,0.368,0.739862,0.324
26,2.392278,0.344,1.047505,0.198,0.973882,0.167,0.828555,0.365,0.747673,0.335
27,2.296395,0.347,1.053678,0.191,1.064078,0.159,0.841004,0.363,0.770199,0.327
28,2.260878,0.339,1.024683,0.196,0.985934,0.162,0.861034,0.365,0.780779,0.325
29,2.536255,0.344,0.993167,0.195,0.995215,0.161,0.878268,0.367,0.811333,0.331
30,2.223379,0.345,1.064076,0.192,1.054015,0.157,0.861473,0.367,0.823893,0.329
31,2.831463,0.339,1.048447,0.184,0.933000,0.151,0.848009,0.365,0.795220,0.330
32,2.269631,0.336,1.117996,0.180,1.031573,0.151,0.856026,0.367,0.765275,0.333
33,2.866808,0.337,1.066241,0.179,0.999159,0.150,0.838106,0.367,0.796176,0.339
34,2.239539,0.331,1.180992,0.171,0.878185,0.149,0.878895,0.367,0.762337,0.338
35,2.473339,0.333,1.186558,0.177,0.916618,0.151,0.835107,0.367,0.732711,0.339
36,2.796930,0.335,1.127587,0.170,0.961024,0.151,0.856983,0.369,0.773628,0.347
37,2.528254,0.336,1.236010,0.168,0.935467,0.150,0.816134,0.367,0.814330,0.338
38,2.242184,0.336,1.108819,0.171,0.895369,0.150,0.822752,0.369,0.785680,0.339
39,2.326298,0.335,1.307936,0.168,0.900938,0.146,0.904698,0.371,0.784326,0.343
40,2.532151,0.339,1.220158,0.165,0.985544,0.145,0.891303,0.369,0.790851,0.343
41,2.245814,0.338,1.216120,0.166,0.939091,0.137,0.810057,0.370,0.757319,0.341
42,2.840978,0.337,1.437620,0.167,0.980047,0.134,0.832790,0.371,0.760903,0.343
43,2.319331,0.333,1.278000,0.165,0.952545,0.132,0.864575,0.371,0.775506,0.342
44,2.314469,0.336,1.237649,0.163,1.029417,0.126,0.869449,0.370,0.769591,0.335
45,2.265382,0.332,1.320890,0.161,0.962935,0.125,0.812067,0.368,0.728163,0.333
46,2.365319,0.329,1.268169,0.163,0.927448,0.133,0.882955,0.367,0.765469,0.335
47,2.522592,0.330,1.259854,0.159,0.993719,0.135,0.850804,0.365,0.750609,0.334
48,2.344349,0.331,1.264457,0.159,0.986985,0.133,0.835915,0.363,0.734938,0.340
49,2.301842,0.325,1.336436,0.159,0.940291,0.132,0.817877,0.365,0.762981,0.337
50,2.462060,0.327,1.256725,0.158,0.982327,0.137,0.876595,0.367,0.798673,0.339
51,2.270829,0.329,1.321915,0.160,0.960524,0.137,0.823101,0.367,0.728446,0.340
52,2.281996,0.328,1.337127,0.158,0.994110,0.134,0.818414,0.367,0.772242,0.339
53,2.274519,0.328,1.350087,0.155,1.021958,0.134,0.812834,0.365,0.751659,0.338
54,2.227283,0.323,1.197953,0.161,1.003546,0.135,0.804480,0.367,0.752489,0.342
