k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,3.772390,0.139,6.391645,0.139,5.648602,0.139,4.204094,0.139,4.089787,0.139
2,6.019102,0.138,4.970969,0.147,3.011399,0.147,4.262523,0.147,3.747658,0.147
3,3.504248,0.143,3.876286,0.153,2.466342,0.153,3.156872,0.153,3.211226,0.153
4,3.679599,0.147,3.360717,0.152,4.572281,0.149,3.432776,0.153,2.751482,0.150
5,5.411058,0.147,7.504745,0.148,6.104368,0.143,4.073139,0.156,2.988813,0.151
6,6.981132,0.145,6.222964,0.146,5.352198,0.139,6.338863,0.153,4.725619,0.147
7,4.348578,0.135,7.684794,0.145,5.980969,0.137,5.705485,0.156,7.432080,0.149
8,5.764902,0.142,6.680785,0.138,5.621553,0.131,4.907978,0.151,3.576004,0.143
9,5.889872,0.141,7.245194,0.136,3.677559,0.127,3.833007,0.153,3.506941,0.145
10,3.489227,0.145,4.420158,0.137,3.647812,0.126,3.907678,0.161,5.162195,0.148
11,7.796376,0.147,6.201594,0.135,4.869992,0.123,5.217558,0.161,3.354720,0.146
12,3.578593,0.153,4.419311,0.135,4.035938,0.119,4.148269,0.159,5.043222,0.139
13,5.955237,0.148,4.919398,0.132,5.562700,0.117,3.690751,0.163,6.952253,0.141
14,7.764052,0.147,13.053551,0.136,10.680194,0.119,11.284823,0.167,8.780718,0.148
15,8.316251,0.147,13.188840,0.134,10.474956,0.118,10.269413,0.166,10.855649,0.147
16,6.829788,0.153,8.478607,0.132,5.822450,0.117,8.707251,0.165,7.177663,0.147
17,6.149889,0.153,11.232743,0.129,8.361922,0.115,6.675646,0.163,8.249333,0.148
18,7.551453,0.152,9.127451,0.130,7.765976,0.116,7.927270,0.165,6.832953,0.153
19,5.297850,0.155,9.471213,0.129,6.485336,0.115,6.788166,0.167,7.206905,0.159
20,5.093925,0.152,7.571032,0.125,4.947195,0.111,5.159375,0.165,7.478651,0.157
21,3.189573,0.148,5.090689,0.127,6.179328,0.111,6.098232,0.169,5.617681,0.159
22,4.412556,0.149,6.444723,0.131,5.648607,0.115,4.727101,0.177,5.345527,0.161
23,3.779705,0.145,9.752510,0.129,8.159392,0.115,10.850670,0.177,7.538011,0.163
24,7.334999,0.147,10.704939,0.129,8.991616,0.113,8.374616,0.175,9.313584,0.163
25,5.511245,0.143,13.404961,0.129,9.237860,0.111,10.279189,0.175,9.020453,0.165
