k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,3.852853,0.138,3.736317,0.138,3.794780,0.138,3.101685,0.138,2.441314,0.138
2,3.967416,0.138,4.201039,0.147,4.298377,0.147,3.690138,0.147,3.525459,0.147
3,4.765825,0.143,4.654713,0.154,4.654048,0.154,4.130308,0.154,3.802250,0.154
4,4.549776,0.147,4.295415,0.153,3.910373,0.149,4.209356,0.154,2.887310,0.150
5,3.851874,0.147,4.894620,0.149,4.654319,0.143,3.916446,0.156,3.489910,0.151
6,3.537631,0.145,4.560346,0.147,4.165957,0.140,3.877661,0.153,4.499400,0.147
7,3.787897,0.134,4.021400,0.147,3.456688,0.139,4.144348,0.157,3.560724,0.151
8,3.756437,0.141,4.736571,0.140,4.517086,0.133,4.384841,0.151,5.115525,0.144
9,3.891422,0.140,4.643762,0.137,3.674056,0.129,4.586823,0.153,3.663405,0.146
10,3.671805,0.144,4.756085,0.139,4.592522,0.127,5.369950,0.161,6.076959,0.149
11,4.932149,0.145,7.171477,0.136,6.596900,0.123,6.457848,0.161,7.239100,0.147
12,4.839634,0.152,7.319283,0.135,7.524417,0.120,6.470477,0.159,6.525984,0.139
13,5.187866,0.148,7.148501,0.133,6.263683,0.118,6.073783,0.163,5.834229,0.141
14,5.571309,0.147,8.731334,0.137,7.937210,0.120,5.636964,0.167,6.297979,0.147
15,5.711012,0.147,8.466506,0.135,6.834204,0.119,7.409237,0.165,5.646822,0.147
16,7.350198,0.152,7.413263,0.133,8.544581,0.118,7.163651,0.165,6.670054,0.146
17,4.401565,0.153,6.957844,0.129,8.983839,0.116,7.039362,0.163,8.456160,0.147
18,6.078197,0.151,7.913189,0.131,7.347565,0.117,8.189207,0.166,7.436678,0.153
19,5.403833,0.154,8.371016,0.129,7.969764,0.116,7.471655,0.167,7.853229,0.158
20,5.400610,0.152,8.263069,0.125,7.306051,0.112,7.677473,0.165,7.243771,0.156
21,5.120301,0.148,9.183589,0.127,6.401343,0.111,8.050449,0.169,9.466279,0.159
22,5.474089,0.149,7.764220,0.132,6.565347,0.115,6.454056,0.177,7.109578,0.160
23,4.609280,0.145,9.774705,0.130,7.504504,0.115,6.454718,0.177,7.510698,0.163
24,4.765798,0.147,8.465479,0.130,7.240724,0.114,7.036484,0.175,7.844226,0.163
25,5.328441,0.143,10.024004,0.129,8.178874,0.111,6.735751,0.175,7.471255,0.165
26,4.542838,0.141,8.829798,0.126,8.264188,0.111,6.146616,0.175,7.215586,0.161
27,5.752551,0.137,8.954718,0.124,7.290008,0.111,7.798947,0.178,7.509417,0.165
28,5.748464,0.133,7.701853,0.123,7.383415,0.106,7.760284,0.183,7.497517,0.165
29,4.624232,0.135,9.136401,0.123,9.356542,0.105,7.136448,0.187,7.904885,0.167
30,4.477153,0.136,7.302107,0.121,8.486491,0.103,10.296356,0.183,6.043686,0.168
31,5.736259,0.133,7.814745,0.117,8.135391,0.102,8.158363,0.189,8.742318,0.171
32,4.855789,0.129,8.232488,0.118,7.727430,0.101,7.694412,0.187,7.934597,0.169
33,5.765317,0.131,8.394467,0.121,8.463359,0.103,7.644235,0.185,7.976671,0.173
34,5.036128,0.129,8.852162,0.119,7.119996,0.101,7.042284,0.187,8.459371,0.172
35,5.420500,0.125,7.533026,0.117,7.579838,0.100,9.293347,0.191,7.818176,0.169
36,4.734196,0.121,8.179539,0.114,8.782914,0.097,6.808581,0.191,6.713597,0.169
37,5.597114,0.121,9.099740,0.113,7.218624,0.095,7.342862,0.192,8.157338,0.165
38,6.162408,0.116,8.888225,0.112,8.010403,0.093,6.838049,0.194,5.941818,0.167
39,4.535105,0.118,6.971479,0.113,5.375997,0.093,5.705854,0.195,5.935454,0.165
40,3.958972,0.120,6.742090,0.112,5.503747,0.091,6.416761,0.195,6.328917,0.167
41,4.341484,0.115,6.621349,0.111,7.007497,0.091,4.758834,0.195,5.902336,0.169
42,4.675503,0.112,8.289503,0.113,7.204575,0.091,6.714911,0.195,7.190678,0.170
43,5.369462,0.112,6.607851,0.112,6.243007,0.093,5.816802,0.195,5.448762,0.167
44,4.525245,0.114,6.720585,0.111,6.945999,0.093,4.643435,0.197,4.493058,0.164
45,3.747343,0.117,7.601333,0.112,6.128420,0.093,5.652929,0.199,7.100270,0.168
46,4.510052,0.117,7.423830,0.112,7.033535,0.093,6.546128,0.198,5.820817,0.166
47,3.789927,0.115,7.287415,0.113,6.148386,0.093,7.023050,0.198,7.072347,0.164
48,4.202633,0.117,6.585562,0.110,6.895471,0.094,7.459845,0.198,5.622993,0.164
49,4.530109,0.117,8.778679,0.111,7.024700,0.096,7.272570,0.199,6.491535,0.163
50,4.286890,0.121,7.154551,0.114,7.439731,0.097,6.244591,0.201,5.717983,0.165
51,4.091849,0.123,8.097512,0.113,6.537162,0.096,6.577457,0.198,6.621907,0.167
52,3.825301,0.125,7.744034,0.110,7.320364,0.093,5.926174,0.198,4.993023,0.162
53,4.573374,0.126,6.060880,0.107,6.421138,0.093,6.319888,0.196,7.763711,0.165
54,4.555553,0.127,7.481511,0.107,5.786152,0.092,5.562623,0.195,6.844495,0.161
