k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,17.614353,0.312,14.355446,0.312,14.855122,0.312,12.307107,0.312,10.713966,0.312
2,18.560870,0.253,15.361920,0.312,10.135231,0.312,13.083121,0.312,14.823170,0.312
3,14.903965,0.275,14.942520,0.302,15.970125,0.302,14.197950,0.302,12.948432,0.302
4,16.894896,0.272,15.742167,0.292,14.602819,0.287,16.792809,0.299,15.255219,0.294
5,17.896431,0.272,17.595509,0.290,15.561536,0.288,13.801334,0.307,14.542899,0.300
6,16.220415,0.271,16.320175,0.285,12.958027,0.279,13.075779,0.307,16.747111,0.303
7,15.813711,0.257,12.928444,0.282,16.229115,0.273,17.071072,0.309,16.771644,0.297
8,16.986725,0.251,17.781917,0.277,15.323234,0.263,14.910866,0.306,15.173014,0.296
9,17.528700,0.247,16.694552,0.276,15.473155,0.258,16.838224,0.305,14.922375,0.293
10,17.494098,0.238,17.186063,0.276,12.986396,0.260,17.092469,0.310,16.579543,0.303
11,16.058159,0.241,17.855119,0.276,14.108863,0.262,14.070111,0.308,16.127047,0.300
12,20.110262,0.237,14.522226,0.269,18.500473,0.253,15.319843,0.312,14.556294,0.295
13,16.209210,0.223,18.103780,0.266,15.925005,0.249,15.933425,0.304,16.897307,0.289
14,19.053115,0.225,15.931738,0.256,14.940804,0.246,18.041332,0.301,13.180547,0.291
15,17.052831,0.231,17.137317,0.259,15.783243,0.238,17.642099,0.296,17.221783,0.281
16,19.277468,0.227,17.248121,0.261,18.812072,0.239,17.841044,0.300,17.799501,0.285
17,14.283205,0.225,16.698907,0.254,16.494613,0.230,15.045047,0.297,17.193995,0.291
18,15.510385,0.220,17.039313,0.251,16.455183,0.220,15.903293,0.292,18.178670,0.287
19,12.979116,0.219,18.521045,0.247,17.829198,0.217,15.786792,0.296,18.241222,0.285
20,15.446590,0.213,15.832923,0.239,15.202027,0.209,15.912171,0.290,12.329496,0.283
21,17.917967,0.209,17.159922,0.239,13.129580,0.210,17.776037,0.283,16.600490,0.281
22,17.406894,0.206,12.807301,0.234,10.576795,0.206,13.221677,0.282,11.438756,0.279
23,12.888201,0.208,14.834449,0.237,9.165713,0.202,12.098148,0.283,14.228434,0.276
24,12.634190,0.211,13.022863,0.237,14.501705,0.201,13.212832,0.283,9.104979,0.267
25,13.070469,0.204,13.591624,0.234,12.110250,0.198,10.501162,0.283,9.999378,0.267
26,13.815752,0.196,13.003246,0.230,13.922909,0.197,13.927089,0.281,13.260621,0.263
27,10.008946,0.195,11.652514,0.231,11.589403,0.195,10.906665,0.283,13.095143,0.263
28,12.846675,0.195,16.457560,0.233,13.167662,0.196,12.386378,0.278,8.736836,0.262
29,11.689880,0.191,14.547343,0.235,13.934551,0.201,13.232535,0.277,10.083638,0.268
30,12.590761,0.189,12.756675,0.233,13.816435,0.197,12.988289,0.275,14.311709,0.263
31,12.958873,0.188,11.521332,0.237,15.196544,0.198,14.171167,0.271,12.004610,0.265
32,11.762860,0.187,14.501981,0.240,14.662250,0.194,12.905090,0.269,9.501270,0.264
33,13.096535,0.183,11.387834,0.239,13.242643,0.195,15.741139,0.265,13.320200,0.257
34,13.874714,0.179,16.278848,0.240,8.852174,0.195,12.771819,0.265,13.447747,0.257
35,13.010551,0.179,15.038219,0.241,16.029846,0.197,14.717922,0.263,13.272877,0.253
36,14.564437,0.178,11.877356,0.239,12.424899,0.193,14.410424,0.262,16.397560,0.255
37,12.698874,0.175,15.429874,0.240,15.893982,0.193,12.873412,0.263,14.827929,0.257
38,13.920270,0.173,12.876003,0.240,10.165452,0.187,15.184078,0.265,13.507963,0.257
39,13.809106,0.172,13.930607,0.234,14.451929,0.189,12.859154,0.265,11.982926,0.259
40,14.098442,0.171,13.645589,0.239,13.601974,0.193,16.389335,0.261,13.117369,0.258
41,12.571035,0.169,14.379023,0.236,13.176927,0.192,13.790673,0.261,14.232976,0.255
42,13.764966,0.167,15.781199,0.236,14.125806,0.191,10.782614,0.258,10.444664,0.251
43,11.007220,0.169,10.942414,0.232,11.494062,0.193,11.809536,0.255,13.376342,0.253
44,11.832897,0.170,14.571392,0.233,14.183393,0.192,16.066078,0.255,14.636487,0.257
45,13.147280,0.167,16.234053,0.229,13.774195,0.187,12.075060,0.253,10.054013,0.257
46,14.114176,0.167,12.937650,0.227,13.326019,0.185,14.678963,0.251,13.027804,0.255
47,12.235029,0.168,14.665731,0.224,13.428818,0.185,13.157032,0.248,16.758977,0.253
48,13.981085,0.168,13.976562,0.226,14.715181,0.184,11.009811,0.251,14.388299,0.252
49,12.604645,0.163,15.992156,0.228,13.284833,0.186,12.818289,0.249,15.514731,0.254
50,10.578688,0.164,15.675414,0.229,14.500143,0.184,15.430373,0.250,14.711811,0.255
51,13.777955,0.164,15.142947,0.229,14.804316,0.185,15.845003,0.249,11.990631,0.246
52,11.244217,0.166,12.074023,0.232,11.590810,0.190,10.013835,0.247,12.343114,0.244
53,11.504141,0.161,12.750094,0.235,11.892499,0.197,12.254766,0.247,11.242245,0.240
54,14.002587,0.161,15.975114,0.233,12.224582,0.196,14.405079,0.246,15.374789,0.241
55,11.952550,0.160,15.104048,0.230,14.395653,0.196,13.988069,0.245,12.973479,0.235
56,14.599795,0.158,14.148470,0.232,12.568618,0.197,15.130993,0.243,13.160142,0.229
57,12.827156,0.159,17.920627,0.232,14.206714,0.193,12.188410,0.237,14.536149,0.231
58,15.350011,0.155,16.310234,0.230,13.758160,0.191,16.865503,0.235,10.249478,0.231
59,14.832855,0.152,13.312436,0.225,12.432070,0.187,14.388698,0.237,15.033410,0.231
60,13.390778,0.153,16.374072,0.223,13.879411,0.185,13.754913,0.239,16.040549,0.231
61,11.504785,0.153,12.574381,0.223,13.195114,0.185,13.256275,0.241,12.089411,0.231
62,15.282592,0.155,14.281545,0.219,10.210070,0.183,14.631560,0.235,15.274390,0.230
63,14.267974,0.152,16.198582,0.219,15.819683,0.186,15.186988,0.233,15.816163,0.227
64,15.753723,0.153,17.722044,0.217,15.957887,0.185,11.962280,0.231,15.837069,0.225
65,14.282668,0.153,16.960177,0.219,11.158379,0.185,14.119803,0.233,16.291784,0.223
66,12.021113,0.149,13.555716,0.215,17.583456,0.187,15.169854,0.233,15.689347,0.223
67,13.755563,0.144,14.719785,0.213,15.543631,0.186,14.769670,0.230,15.630710,0.223
68,11.619623,0.144,14.358380,0.214,14.506366,0.185,15.910128,0.228,16.184706,0.224
69,14.931308,0.144,9.052713,0.217,10.192966,0.185,8.659985,0.227,9.595218,0.222
70,8.378036,0.144,10.698796,0.221,11.444468,0.185,9.464351,0.226,11.086596,0.219
