k,majorityvote time,majorityvote accuracy,averageminimumdistance mean time,averageminimumdistance mean accuracy,averageminimumdistance median time,averageminimumdistance median accuracy,weightedmajorityvote mean time,weightedmajorityvote mean accuracy,weightedmajorityvote median time, weightedmajorityvote median accuracy
1,2.552123,0.332,0.544664,0.332,0.557195,0.332,0.416651,0.332,0.451075,0.332
2,2.530794,0.295,0.604429,0.332,0.585438,0.332,0.462399,0.332,0.436593,0.332
3,2.597874,0.299,0.622608,0.326,0.636993,0.326,0.517799,0.326,0.646760,0.326
4,2.297121,0.305,0.634008,0.317,0.652317,0.315,0.632935,0.325,0.528420,0.322
5,2.300417,0.323,0.687740,0.300,0.680879,0.291,0.889530,0.320,0.467977,0.313
6,2.742007,0.317,0.691860,0.285,0.740413,0.272,0.769071,0.327,0.490323,0.313
7,2.365725,0.327,0.689685,0.278,0.758339,0.258,0.683493,0.324,0.537591,0.312
8,2.411588,0.334,0.676626,0.264,0.909085,0.243,0.614676,0.331,0.498399,0.308
9,2.329291,0.341,0.720659,0.267,1.170874,0.244,0.625315,0.337,0.540158,0.315
10,2.297293,0.345,0.742942,0.261,1.078414,0.242,0.673470,0.344,0.544242,0.318
11,2.330066,0.337,0.781911,0.254,1.094048,0.233,0.606772,0.349,0.541194,0.323
12,2.352874,0.341,0.749025,0.247,1.229408,0.226,0.610920,0.348,0.591824,0.329
13,2.632099,0.347,0.775312,0.235,1.123002,0.217,0.649516,0.355,0.620947,0.335
14,2.294875,0.345,0.772887,0.228,1.219135,0.212,0.645783,0.359,0.605373,0.331
15,2.805137,0.345,0.805628,0.225,1.350605,0.206,0.687295,0.360,0.638991,0.327
16,2.293629,0.351,0.803456,0.230,1.205477,0.207,0.693826,0.357,0.647579,0.331
17,2.851208,0.344,0.870897,0.226,1.220454,0.203,0.683573,0.354,0.684396,0.331
18,2.633859,0.344,0.829409,0.228,1.149433,0.197,0.740306,0.353,0.680492,0.335
19,2.857446,0.345,0.874375,0.230,1.305159,0.199,0.750711,0.360,0.721601,0.337
20,2.395476,0.346,0.910766,0.232,1.220213,0.201,0.785538,0.359,0.734885,0.342
21,2.311694,0.349,0.944990,0.229,1.042958,0.192,0.824497,0.362,0.696852,0.337
22,2.923372,0.351,0.944456,0.229,1.112310,0.183,0.844926,0.363,0.753060,0.330
23,2.249144,0.347,1.044186,0.217,1.001850,0.182,0.838630,0.361,0.758223,0.323
24,2.319212,0.341,0.958603,0.204,1.130783,0.173,0.850812,0.361,0.752244,0.330
25,2.433631,0.343,0.941338,0.201,1.049238,0.171,0.859970,0.368,0.771322,0.324
26,2.379878,0.344,0.931177,0.198,1.126173,0.167,0.846922,0.365,0.768393,0.335
27,2.297692,0.347,1.097030,0.191,1.048859,0.159,0.872863,0.363,0.792445,0.327
28,2.649341,0.339,1.208060,0.196,1.034539,0.162,0.882946,0.365,0.753523,0.325
29,2.416349,0.344,1.092602,0.195,1.004816,0.161,0.886534,0.367,0.781989,0.331
30,2.364043,0.345,1.072490,0.192,1.013719,0.157,0.860807,0.367,0.772319,0.329
31,2.364347,0.339,1.090499,0.184,1.058897,0.151,0.865224,0.365,0.759071,0.330
32,2.526933,0.336,1.151380,0.180,0.987143,0.151,0.866747,0.367,0.781837,0.333
33,2.390588,0.337,1.151269,0.179,1.022050,0.150,0.851302,0.367,0.779278,0.339
34,2.372131,0.331,1.253740,0.171,0.940857,0.149,0.876632,0.367,0.788028,0.338
35,2.437990,0.333,1.137482,0.177,0.939775,0.151,0.854135,0.367,0.782984,0.339
36,2.396498,0.335,1.201336,0.170,0.881756,0.151,0.840413,0.369,0.793882,0.347
37,2.571386,0.336,1.133202,0.168,0.947902,0.150,0.884031,0.367,0.804479,0.338
38,2.588129,0.336,1.326378,0.171,1.011421,0.150,0.842177,0.369,0.758371,0.339
39,2.549999,0.335,1.195321,0.168,0.935478,0.146,0.859341,0.371,0.817776,0.343
40,2.341763,0.339,1.152841,0.165,0.948350,0.145,0.833110,0.369,0.757262,0.343
41,2.280965,0.338,1.124324,0.166,0.986678,0.137,0.866620,0.370,0.754270,0.341
42,2.472417,0.337,1.274519,0.167,0.930965,0.134,0.834795,0.371,0.769522,0.343
43,2.310508,0.333,1.245500,0.165,0.958601,0.132,0.848919,0.371,0.800796,0.342
44,2.368040,0.336,1.269187,0.163,0.959158,0.126,0.794180,0.370,0.771065,0.335
45,2.299410,0.332,1.246125,0.161,0.968265,0.125,0.853166,0.368,0.741933,0.333
46,2.353826,0.329,1.215372,0.163,0.966286,0.133,0.827285,0.367,0.778838,0.335
47,2.355030,0.330,1.179506,0.159,0.967604,0.135,0.832204,0.365,0.829850,0.334
48,2.346629,0.331,1.326364,0.159,0.941767,0.133,0.838834,0.363,0.753671,0.340
49,2.295430,0.325,1.250395,0.159,0.978724,0.132,0.811583,0.365,0.769166,0.337
50,2.357258,0.327,1.168907,0.158,0.979809,0.137,0.812154,0.367,0.744274,0.339
51,2.304394,0.329,1.331434,0.160,0.971277,0.137,0.803084,0.367,0.759659,0.340
52,2.512886,0.328,1.367545,0.158,1.013570,0.134,0.851362,0.367,0.752806,0.339
53,2.377541,0.328,1.302742,0.155,1.016457,0.134,0.847372,0.365,0.783024,0.338
54,2.389918,0.323,1.274506,0.161,1.011340,0.135,0.816653,0.367,0.744489,0.342
55,2.313058,0.327,1.228423,0.162,0.999150,0.135,0.829134,0.365,0.777742,0.339
56,2.534551,0.325,1.349756,0.168,0.979005,0.135,0.751087,0.364,0.741234,0.338
57,2.390257,0.323,1.316808,0.167,1.022414,0.137,0.812398,0.361,0.746731,0.343
58,2.374283,0.327,1.378386,0.165,1.003049,0.136,0.832321,0.364,0.736968,0.345
59,2.337644,0.327,1.473893,0.161,1.037794,0.133,0.818964,0.363,0.745644,0.346
60,2.271537,0.327,1.342707,0.157,0.992274,0.131,0.790469,0.362,0.747500,0.347
61,2.334184,0.323,1.437294,0.155,1.001896,0.130,0.792000,0.363,0.752852,0.346
62,2.964209,0.321,1.475480,0.160,1.052987,0.131,0.837798,0.361,0.753149,0.341
63,2.324286,0.323,1.329854,0.163,1.009060,0.133,0.833060,0.362,0.772546,0.343
64,2.520239,0.322,1.451902,0.159,1.026808,0.128,0.833229,0.361,0.748182,0.342
