,bedroom,coast,field,forest,highway,house,industrial,kitchen,livingroom,mountain,stadium,store,street,tallbuilding,underwater
bedroom,20,2,4,3,2,4,9,10,17,5,1,14,8,0,1
coast,1,24,4,1,14,1,9,1,0,22,8,1,6,1,7
field,0,0,64,5,15,0,4,1,1,5,3,0,1,1,0
forest,2,2,9,39,4,7,4,3,1,6,4,3,14,0,2
highway,1,3,6,1,61,0,5,2,1,9,2,1,7,0,1
house,5,3,8,5,5,19,6,1,0,19,7,1,12,5,4
industrial,2,2,5,2,27,1,38,0,0,10,3,0,1,5,4
kitchen,24,0,3,0,0,4,5,18,21,5,1,12,5,2,0
livingroom,23,1,1,5,2,5,4,9,19,2,5,12,7,3,2
mountain,1,6,6,1,13,7,13,2,0,31,6,1,3,3,7
stadium,1,3,27,6,6,8,2,0,0,15,27,1,4,0,0
store,10,1,3,10,4,2,1,16,12,2,2,34,3,0,0
street,1,2,1,0,9,5,1,3,0,9,3,0,66,0,0
tallbuilding,2,5,2,1,5,0,21,2,1,8,3,0,11,33,6
underwater,1,1,3,1,7,2,3,1,0,6,2,1,3,2,67
