imsize,accuracy,time
1,0.071,16.460795
2,0.117,16.255321
3,0.156,17.134302
4,0.188,17.085322
5,0.219,17.100011
6,0.205,16.045174
7,0.200,15.898266
8,0.200,14.698976
9,0.205,14.722398
10,0.207,15.161028
11,0.196,15.033918
12,0.191,14.680359
13,0.192,14.846822
14,0.197,14.855357
15,0.196,14.701579
16,0.187,14.973775
17,0.187,14.957643
18,0.190,15.023295
19,0.188,14.913248
20,0.189,15.161173
21,0.187,15.020594
22,0.187,15.244165
23,0.184,14.898758
24,0.179,15.144253
25,0.179,15.030440
26,0.181,15.064196
27,0.185,15.030064
28,0.184,15.152127
29,0.184,14.943921
30,0.179,15.057863
31,0.179,14.990984
32,0.177,15.138318
33,0.178,14.937635
34,0.177,14.918593
35,0.175,14.862797
36,0.173,15.162855
37,0.175,15.141775
38,0.173,15.387037
39,0.173,15.020237
40,0.172,15.075506
41,0.175,15.088925
42,0.170,15.302720
43,0.172,14.805924
44,0.170,15.168567
45,0.172,15.051197
46,0.173,14.897316
47,0.170,15.086761
48,0.169,15.283801
49,0.171,15.058719
50,0.171,15.054313
51,0.170,15.049699
52,0.171,15.339689
53,0.173,15.387784
54,0.173,15.510235
55,0.174,15.200299
56,0.174,15.428737
57,0.171,15.337394
58,0.170,15.238746
59,0.171,15.409018
60,0.171,15.593419
61,0.170,15.368292
62,0.171,15.896340
63,0.171,15.230772
64,0.169,15.603718
65,0.169,15.456730
66,0.170,15.405750
67,0.171,15.231357
68,0.171,15.392149
69,0.168,15.738183
70,0.168,15.609822
71,0.169,15.685806
72,0.168,15.775847
73,0.169,15.598518
74,0.168,15.584411
75,0.169,15.735880
76,0.167,15.780188
77,0.164,15.682279
78,0.166,15.860888
79,0.165,15.734202
80,0.163,15.497140
81,0.163,15.410500
82,0.164,15.931914
83,0.163,15.781746
84,0.162,15.906023
85,0.163,15.757986
86,0.161,16.435394
87,0.159,15.959980
88,0.160,16.141832
89,0.161,15.821894
90,0.161,16.144623
91,0.160,15.930302
92,0.160,16.228109
93,0.159,15.870989
94,0.159,16.214870
95,0.159,15.949012
96,0.162,16.186103
97,0.160,16.006261
98,0.159,17.644618
99,0.159,16.547096
