imsize,accuracy,time
1,0.084,14.654242
2,0.117,17.312030
3,0.167,16.467051
4,0.193,18.021014
5,0.200,18.351757
6,0.203,18.208069
7,0.205,17.704990
8,0.209,17.305041
9,0.209,16.980475
10,0.206,17.864088
11,0.202,16.072789
12,0.205,17.139309
13,0.199,16.037774
14,0.193,15.879382
15,0.193,16.259034
16,0.191,15.792383
17,0.187,15.575289
18,0.189,15.394865
19,0.186,15.574742
20,0.187,16.263797
21,0.184,15.256436
22,0.180,15.527065
23,0.181,15.866266
24,0.177,15.985802
25,0.175,16.087009
26,0.173,15.245839
27,0.173,16.145723
28,0.175,19.473540
29,0.175,18.530858
30,0.177,16.088123
31,0.177,19.029394
32,0.176,16.024942
33,0.175,16.190858
34,0.175,15.759895
35,0.172,16.261377
36,0.173,15.952797
37,0.173,15.894843
38,0.174,15.974464
39,0.175,15.297676
40,0.175,14.946476
41,0.175,16.378847
42,0.176,16.324025
43,0.177,15.497839
44,0.174,16.854004
45,0.176,16.441219
46,0.174,16.082272
47,0.173,16.055822
48,0.175,16.301282
49,0.172,16.214187
50,0.174,16.082625
51,0.173,16.437265
52,0.174,16.181322
53,0.175,16.006313
54,0.173,16.446221
55,0.175,16.581757
56,0.174,16.406077
57,0.173,16.101086
58,0.174,16.772684
59,0.172,16.877624
60,0.172,15.936462
61,0.172,16.978604
62,0.173,16.559249
63,0.173,16.257016
64,0.173,15.708055
65,0.173,16.815509
66,0.173,15.777123
67,0.171,16.648516
68,0.171,16.201757
69,0.171,15.952420
70,0.172,16.994185
71,0.171,16.285259
72,0.170,15.801131
73,0.169,17.051065
74,0.168,16.180564
75,0.169,17.222288
76,0.168,16.402671
77,0.168,16.328602
78,0.168,17.218389
79,0.167,16.520272
80,0.166,16.128292
81,0.167,17.173820
82,0.167,16.899149
83,0.167,16.458929
84,0.167,16.284441
85,0.167,16.124004
86,0.167,17.395734
87,0.167,16.330988
88,0.166,15.838542
89,0.166,17.092399
90,0.165,16.445898
91,0.165,16.382200
92,0.165,16.153806
93,0.165,16.320832
94,0.165,17.237920
95,0.165,16.638654
96,0.166,16.221109
97,0.165,16.510751
98,0.166,16.680046
99,0.166,16.487393
