imsize,accuracy,time
1,0.161,15.228824
2,0.232,15.027653
3,0.305,15.298376
4,0.305,14.925244
5,0.322,14.727021
6,0.319,14.732001
7,0.320,15.078994
8,0.308,14.824285
9,0.307,14.907709
10,0.307,14.943681
11,0.302,14.756699
12,0.303,14.751546
13,0.296,14.724546
14,0.298,14.975426
15,0.302,14.765579
16,0.297,15.794598
17,0.287,15.532393
18,0.289,15.346770
19,0.296,14.804176
20,0.292,15.084849
21,0.285,15.059604
22,0.284,14.942537
23,0.285,15.170139
24,0.287,15.700446
25,0.279,15.357168
26,0.283,15.201822
27,0.283,17.313689
28,0.278,15.117676
29,0.275,15.053610
30,0.280,14.834329
31,0.283,14.861221
32,0.276,14.893885
33,0.275,15.048172
34,0.273,16.694294
35,0.275,14.967578
36,0.279,16.095248
37,0.275,16.537351
38,0.271,16.738123
39,0.273,15.778521
40,0.271,15.175270
41,0.269,15.428001
42,0.274,15.323315
43,0.269,15.189327
44,0.270,15.246533
45,0.267,15.425300
46,0.269,15.257699
47,0.269,15.150188
48,0.269,15.268328
49,0.266,15.219911
50,0.268,15.073066
51,0.269,15.175048
52,0.268,15.237142
53,0.268,15.377901
54,0.266,15.548389
55,0.268,15.322679
56,0.264,15.271812
57,0.271,15.225696
58,0.269,15.305416
59,0.267,15.314393
60,0.265,15.423854
61,0.266,15.738664
62,0.267,15.343878
63,0.267,15.662368
64,0.266,15.204246
65,0.265,15.576224
66,0.263,15.428042
67,0.266,15.176148
68,0.266,15.398870
69,0.267,15.721689
70,0.269,15.893505
71,0.267,15.593721
72,0.264,15.318872
73,0.265,15.683425
74,0.268,15.912613
75,0.267,15.856069
76,0.265,15.628685
77,0.267,15.803494
78,0.265,18.596419
79,0.265,16.206140
80,0.265,16.062958
81,0.264,16.094293
82,0.266,15.835169
83,0.267,15.906230
84,0.265,15.964483
85,0.263,16.307586
86,0.267,15.954522
87,0.265,16.157706
88,0.263,16.198539
89,0.262,15.952436
90,0.265,15.921632
91,0.263,17.204828
92,0.263,16.309436
93,0.265,16.233487
94,0.266,17.187834
95,0.264,16.471123
96,0.264,18.009672
97,0.262,16.836930
98,0.260,16.182741
99,0.259,17.753953
