imsize,accuracy,time
1,0.197,15.687146
2,0.253,14.938703
3,0.291,14.851738
4,0.315,15.050147
5,0.332,14.972824
6,0.323,14.906332
7,0.321,14.867878
8,0.313,14.831477
9,0.320,14.700238
10,0.309,14.684588
11,0.311,14.768835
12,0.311,14.813387
13,0.303,14.765123
14,0.303,14.889272
15,0.297,14.628025
16,0.298,14.208476
17,0.292,14.175388
18,0.295,14.269102
19,0.288,14.215394
20,0.289,14.395639
21,0.281,14.401707
22,0.282,14.421984
23,0.282,14.407873
24,0.277,14.475252
25,0.274,14.585806
26,0.277,14.427075
27,0.275,14.567142
28,0.271,14.739815
29,0.272,14.498920
30,0.271,14.591066
31,0.269,14.572777
32,0.271,14.200301
33,0.271,14.379077
34,0.266,14.400284
35,0.267,14.142782
36,0.267,14.388569
37,0.264,14.385896
38,0.264,14.545130
39,0.263,14.415863
40,0.265,14.306258
41,0.261,14.520297
42,0.259,14.490896
43,0.258,14.818029
44,0.260,14.620620
45,0.259,14.599788
46,0.258,14.557665
47,0.257,14.700493
48,0.259,14.280920
49,0.256,14.478310
50,0.256,14.343508
51,0.257,14.575813
52,0.257,14.585336
53,0.257,14.642315
54,0.256,14.533194
55,0.255,14.607122
56,0.256,14.520754
57,0.255,14.582734
58,0.255,14.759266
59,0.256,14.751097
60,0.255,14.641214
61,0.255,14.665757
62,0.254,14.624196
63,0.255,14.920255
64,0.255,14.550975
65,0.254,14.695390
66,0.252,14.756718
67,0.252,14.681595
68,0.251,14.700385
69,0.252,14.883276
70,0.251,14.658855
71,0.250,14.802027
72,0.251,14.994075
73,0.251,14.880394
74,0.251,14.900026
75,0.252,15.111288
76,0.250,14.887271
77,0.251,15.443113
78,0.250,14.840937
79,0.251,15.084825
80,0.250,14.706896
81,0.250,14.785890
82,0.249,14.934171
83,0.250,14.671761
84,0.249,14.772269
85,0.249,15.055795
86,0.247,14.956498
87,0.247,15.185622
88,0.247,14.921161
89,0.248,15.001025
90,0.247,15.425700
91,0.247,15.396997
92,0.249,15.222087
93,0.249,15.272165
94,0.250,15.189959
95,0.248,15.437114
96,0.249,15.114732
97,0.247,14.971344
98,0.248,15.204869
99,0.248,15.274396
